ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
2397	Bankan_Tey	NECK	kɔ̀rɔ́	k ɔ ¹ r ɔ ⁵	2203	( - - - - - - - ) k ɔ ¹ r ɔ ⁵ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6RU6	2	2.K.C 2.U.V 2.6.T 2.R.C 2.U.V 2.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2398	Bunoge	NECK	kólá-ŋgè	k o ⁵ l a ⁵ + ŋ ɡ e ¹	2203	( - - - - - - - ) k o ⁵ l a ⁵ ( + ŋ ɡ e ¹ )	1 7 8 5 7 8 9 4 1 7 8	AXTBYT_ACYT	KU6LA6_NKE6	4	4.K.C 4.U.V 4.6.T 4.L.C 4.A.V 4.6.T 4._._ 4.N.C 4.K.C 4.E.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0
2399	Dogul_Dom	NECK	mɔ̌:g	m ɔː ¹⁵ ɡ	4942	m ɔː ¹⁵ ( ɡ )	4 7 8 1	AXTN	MU2K	5	5.M.C 5.U.V 5.2.T 5.K.c	1.6 3.0 1.0 0.5	0
2400	Najamba	NECK	mɔ᷈:	m ɔː	4942	m ɔː ¹⁵¹ ( - )	4 7	AX	MU	11	11.M.C 11.U.V	2.0 1.5	0
2401	Tebul_Ure	NECK	kwǎ:	k w aː ¹⁵	2203	k w aː ¹⁵	1 6 7 8	ACXT	KWA2	16	16.K.C 16.W.C 16.A.V 16.2.T	1.6 1.2 3.0 1.0	0
2402	Tommo_So	NECK	ɔ̀dɔ́	ɔ ¹ d ɔ ⁵	4935	( - - - - - - - ) ?- ɔ ¹ d ɔ ⁵ ( - - - - - )	7 8 1 7 8	XTBYT	U6TU6	19	19.U.V 19.6.T 19.T.C 19.U.V 19.6.T	3.0 1.0 1.3 3.0 1.0	0
2403	Yanda_Dom	NECK	kɔ̀lɔ̀	k ɔ ¹ l ɔ ¹	2203	( - - - - - - - ) k ɔ ¹ l ɔ ¹ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6LU6	22	22.K.C 22.U.V 22.6.T 22.L.C 22.U.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2404	Yorno_So	NECK	kù-kɔ̀lɔ́	k u ¹ + k ɔ ¹ l ɔ ⁵	146	( k u ¹ + - - - ) k ɔ ¹ l ɔ ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KY6_KU6LU6	23	23.K.C 23.Y.V 23.6.T 23._._ 23.K.C 23.U.V 23.6.T 23.L.C 23.U.V 23.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
2405	Donno_So	NECK	kɔ̀lɔ̀-kɔ̀lɔ́	k ɔ ¹ l ɔ ¹ + k ɔ ¹ l ɔ ⁵	2203	( k ɔ ¹ l ɔ ¹ + ) k ɔ ¹ l ɔ ⁵ ( - - - - - )	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KU6LU6_KU6LU6	6	6.K.C 6.U.V 6.6.T 6.L.C 6.U.V 6.6.T 6._._ 6.K.C 6.U.V 6.6.T 6.L.C 6.U.V 6.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
2406	Mombo	NECK	párù	p a ⁵ r u ¹	4935	p a ⁵ r u ¹	1 7 8 5 7 8	AXTBYT	PA6RY6	10	10.P.C 10.A.V 10.6.T 10.R.C 10.Y.V 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
