ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
1	Bangime	!GUEST OR STRANGER	jīī-tūwⁿɔ̀	dʒ iː ³³ + t u ³ w̃ ∼ ɔ ¹	1	j iː ³ + t u ³ w̃ ∼ ɔ ¹	1 7 8 9 1 7 8 6 4 7 8	AXT_AXTMBYT	TI4_TY6W9U6	1	1.T.C 1.I.V 1.4.T 1._._ 1.T.C 1.Y.V 1.6.T 1.W.c 1.9.C 1.U.V 1.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2	Ben_Tey	!GUEST OR STRANGER	lò:sú-m	l oː ¹ s u ⁵ + m	8733	l oː ¹ s u ⁵ ( + m - - - )	5 7 8 3 7 8 9 4	AXTBYT_A	LU6SY6_M	3	3.L.C 3.U.V 3.6.T 3.S.C 3.Y.V 3.6.T 3._._ 3.M.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
3	Bankan_Tey	!GUEST OR STRANGER	ǹdòsú-m	nd o ¹ s u ⁵ + m	8733	nd o ¹ s u ⁵ ( + m - - - )	4 7 8 3 7 8 9 4	AXTBYT_A	NU6SY6_M	2	2.N.C 2.U.V 2.6.T 2.S.C 2.Y.V 2.6.T 2._._ 2.M.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
4	Nanga	!GUEST OR STRANGER	lò:sí	l oː ¹ s i ⁵	8733	l oː ¹ s i ⁵ ( - - - - - )	5 7 8 3 7 8	AXTBYT	LU6SI6	12	12.L.C 12.U.V 12.6.T 12.S.C 12.I.V 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
5	Perge_Tegu	!GUEST OR STRANGER	lò:sú-n	l oː ¹ s u ⁵ + n	8733	l oː ¹ s u ⁵ ( + n - - - )	5 7 8 3 7 8 9 4	AXTBYT_A	LU6SY6_N	14	14.L.C 14.U.V 14.6.T 14.S.C 14.Y.V 14.6.T 14._._ 14.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
6	Gourou	!GUEST OR STRANGER	yérí-n	j e ⁵ r i ⁵ + n	8363	j e ⁵ r i ⁵ ( + n - - - )	6 7 8 5 7 8 9 4	AXTBYT_A	JE6RI6_N	7	7.J.C 7.E.V 7.6.T 7.R.C 7.I.V 7.6.T 7._._ 7.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
7	Togo_Kan	!GUEST OR STRANGER	yéríⁿ	j e ⁵ r ĩ ∼ ⁵	8363	j e ⁵ r ĩ ⁵ ( - ∼ - - - )	6 7 8 5 7 4 8	AXTBYLT	JE6RI96	18	18.J.C 18.E.V 18.6.T 18.R.C 18.I.V 18.9.c 18.6.T	1.6 3.0 1.0 1.3 3.0 1.1 1.0	0
8	Yorno_So	!GUEST OR STRANGER	yér-nɛ́	j e ⁵ r + n ɛ ⁵	8363	j e ⁵ r ?- ?- ( - n ɛ ⁵ - )	6 7 8 5 9 4 7 8	AXTN_AXT	JE6R_NE6	23	23.J.C 23.E.V 23.6.T 23.R.c 23._._ 23.N.C 23.E.V 23.6.T	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	0
9	Tommo_So	!GUEST OR STRANGER	yòùnjì-nɛ́	j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵	8363	j ou ¹ n dʒ i ¹ ( + n ɛ ⁵ )	6 7 8 7 8 4 1 7 8 9 4 7 8	AXTYTMBYT_AXT	JU6Y6NTI6_NE6	19	19.J.C 19.U.V 19.6.T 19.Y.V 19.6.T 19.N.c 19.T.C 19.I.V 19.6.T 19._._ 19.N.C 19.E.V 19.6.T	1.6 3.0 1.0 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0
10	Dogul_Dom	!GUEST OR STRANGER	yàrùwúl	j a ¹ r u ¹ w u ⁵ l	8363	j a ¹ r u ¹ ( - w u ⁵ l )	6 7 8 5 7 8 6 7 8 5	AXTBYTBYTN	JA6RY6WY6L	5	5.J.C 5.A.V 5.6.T 5.R.C 5.Y.V 5.6.T 5.W.C 5.Y.V 5.6.T 5.L.c	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.5	0
11	Tebul_Ure	!GUEST OR STRANGER	lògòdé:	l o ¹ ɡ o ¹ d eː ⁵	20	l o ¹ ɡ o ¹ + d eː ⁵	5 7 8 1 7 8 1 7 8	AXTBYTBYT	LU6KU6TE6	16	16.L.C 16.U.V 16.6.T 16.K.C 16.U.V 16.6.T 16.T.C 16.E.V 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
12	Yanda_Dom	!GUEST OR STRANGER	nò_nò:zù	n o ¹ _ n oː ¹ z u ¹	8733	n o ¹ n oː ¹ ( - z - u ¹ )	4 7 8 9 4 7 8 3 7 8	AXT_AXTBYT	NU6_NU6SY6	22	22.N.C 22.U.V 22.6.T 22._._ 22.N.C 22.U.V 22.6.T 22.S.C 22.Y.V 22.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
13	Najamba	!GUEST OR STRANGER	bèmbǎ:	b e ¹ m b aː ¹⁵	8362	b e ¹ m b aː ¹⁵	1 7 8 4 1 7 8	AXTMBYT	PE6MPA2	11	11.P.C 11.E.V 11.6.T 11.M.c 11.P.C 11.A.V 11.2.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
14	Bunoge	!GUEST OR STRANGER	dó:njì	d oː ⁵ n dʒ i ¹	8733	d oː ⁵ n dʒ i ¹ ( - - - - )	1 7 8 4 1 7 8	AXTMBYT	TU6NTI6	4	4.T.C 4.U.V 4.6.T 4.N.c 4.T.C 4.I.V 4.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
15	Donno_So	!GUEST OR STRANGER	wòɲjù-nɔ́	w o ¹ ɲ dʒ u ¹ + n ɔ ⁵	8733	w o ¹ ɲ dʒ u ¹ ( + n ɔ ⁵ )	6 7 8 4 1 7 8 9 4 7 8	AXTMBYT_AXT	WU6NTY6_NU6	6	6.W.C 6.U.V 6.6.T 6.N.c 6.T.C 6.Y.V 6.6.T 6._._ 6.N.C 6.U.V 6.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0
16	Tiranige_Diga	!GUEST OR STRANGER	bí:má	b iː ⁵ m a ⁵	8362	b iː ⁵ m ?- a ⁵	1 7 8 4 7 8	AXTBYT	PI6MA6	17	17.P.C 17.I.V 17.6.T 17.M.C 17.A.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
17	Penange	!GUEST OR STRANGER	bì:mbà	b iː ¹ m b a ¹	8362	b iː ¹ m b a ¹	1 7 8 4 1 7 8	AXTMBYT	PI6MPA6	13	13.P.C 13.I.V 13.6.T 13.M.c 13.P.C 13.A.V 13.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
18	Mombo	!GUEST OR STRANGER	gìlà-gílí	ɡ i ¹ l a ¹ + ɡ i ⁵ l i ⁵	8363	ɡ i ¹ l a ¹ + ɡ i ⁵ l i ⁵	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KI6LA6_KI6LI6	10	10.K.C 10.I.V 10.6.T 10.L.C 10.A.V 10.6.T 10._._ 10.K.C 10.I.V 10.6.T 10.L.C 10.I.V 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
19	Jamsay	!GUEST OR STRANGER	yérí-n	j e ⁵ r i ⁵ + n	8363	j e ⁵ r i ⁵ ( + n - - - )	6 7 8 5 7 8 9 4	AXTBYT_A	JE6RI6_N	9	9.J.C 9.E.V 9.6.T 9.R.C 9.I.V 9.6.T 9._._ 9.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
20	Toro_Tegu	!GUEST OR STRANGER	lòsù-rⁿu	l o ¹ s u ¹ + r̃ ∼ u	8733	l o ¹ s u ¹ ( + r̃ ∼ u ⁵ )	5 7 8 3 7 8 9 5 4 7	AXTBYT_ACZ	LU6SY6_R9Y	21	21.L.C 21.U.V 21.6.T 21.S.C 21.Y.V 21.6.T 21._._ 21.R.C 21.9.C 21.Y.V	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 0.7	0
21	Bangime	ARMPIT	kōmpàà	k o ³ m p aː ¹	98	k o ³ m + p aː ¹	1 7 8 4 1 7 8	AXTMBYT	KU6MPA6	1	1.K.C 1.U.V 1.6.T 1.M.c 1.P.C 1.A.V 1.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
22	Tebul_Ure	ARMPIT	kà-kàrá	k a ¹ + k a ¹ r a ⁵	109	k a ¹ + k a ¹ r a ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KA6_KA6RA6	16	16.K.C 16.A.V 16.6.T 16._._ 16.K.C 16.A.V 16.6.T 16.R.C 16.A.V 16.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
23	Toro_Tegu	ARMPIT	ìr-kílá	i ¹ r + k i ⁵ l a ⁵	110	i ¹ r ?- ?- + k i ⁵ ?- l a ⁵	7 8 5 9 1 7 8 5 7 8	XTN_AXTBYT	I6R_KI6LA6	21	21.I.V 21.6.T 21.R.c 21._._ 21.K.C 21.I.V 21.6.T 21.L.C 21.A.V 21.6.T	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
24	Ben_Tey	ARMPIT	àr-kɛ́lɛ̀	a ¹ r + k ɛ ⁵ l ɛ ¹	110	a ¹ r ?- ?- + k ɛ ⁵ ?- l ɛ ¹	7 8 5 9 1 7 8 5 7 8	XTN_AXTBYT	A6R_KE6LE6	3	3.A.V 3.6.T 3.R.c 3._._ 3.K.C 3.E.V 3.6.T 3.L.C 3.E.V 3.6.T	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
25	Bankan_Tey	ARMPIT	ár-kɛ́ndɛ̀	a ⁵ r + k ɛ ⁵ n d ɛ ¹	110	a ⁵ r ?- ?- + k ɛ ⁵ n d ɛ ¹	7 8 5 9 1 7 8 4 1 7 8	XTN_AXTMBYT	A6R_KE6NTE6	2	2.A.V 2.6.T 2.R.c 2._._ 2.K.C 2.E.V 2.6.T 2.N.c 2.T.C 2.E.V 2.6.T	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
26	Nanga	ARMPIT	ɛ̀rɛ̀-kɛ̀ndɛ̂	ɛ ¹ r ɛ ¹ + k ɛ ¹ n d ɛ ¹⁵	110	ɛ ¹ r ɛ ¹ + k ɛ ¹ n d ɛ ¹⁵	7 8 5 7 8 9 1 7 8 4 1 7 8	XTBYT_AXTMBYT	E6RE6_KE6NTE2	12	12.E.V 12.6.T 12.R.C 12.E.V 12.6.T 12._._ 12.K.C 12.E.V 12.6.T 12.N.c 12.T.C 12.E.V 12.2.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
27	Perge_Tegu	ARMPIT	kà-kàrá	k a ¹ + k a ¹ r a ⁵	109	k a ¹ + k a ¹ r a ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KA6_KA6RA6	14	14.K.C 14.A.V 14.6.T 14._._ 14.K.C 14.A.V 14.6.T 14.R.C 14.A.V 14.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
28	Gourou	ARMPIT	kì-kàrá	k i ¹ + k a ¹ r a ⁵	109	k i ¹ + k a ¹ r a ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KI6_KA6RA6	7	7.K.C 7.I.V 7.6.T 7._._ 7.K.C 7.A.V 7.6.T 7.R.C 7.A.V 7.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
29	Togo_Kan	ARMPIT	kà-kàrá	k a ¹ + k a ¹ r a ⁵	109	k a ¹ + k a ¹ r a ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KA6_KA6RA6	18	18.K.C 18.A.V 18.6.T 18._._ 18.K.C 18.A.V 18.6.T 18.R.C 18.A.V 18.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
30	Yorno_So	ARMPIT	kí-kárú	k i ⁵ + k a ⁵ r u ⁵	109	k i ⁵ + k a ⁵ r u ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KI6_KA6RY6	23	23.K.C 23.I.V 23.6.T 23._._ 23.K.C 23.A.V 23.6.T 23.R.C 23.Y.V 23.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
31	Tommo_So	ARMPIT	ká-kárú	k a ⁵ + k a ⁵ r u ⁵	109	k a ⁵ + k a ⁵ r u ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KA6_KA6RY6	19	19.K.C 19.A.V 19.6.T 19._._ 19.K.C 19.A.V 19.6.T 19.R.C 19.Y.V 19.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
32	Dogul_Dom	ARMPIT	kárà-kàrà	k a ⁵ r a ¹ + k a ¹ r a ¹	109	k a ⁵ r a ¹ + k a ¹ r a ¹ ( - - - - - - - )	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KA6RA6_KA6RA6	5	5.K.C 5.A.V 5.6.T 5.R.C 5.A.V 5.6.T 5._._ 5.K.C 5.A.V 5.6.T 5.R.C 5.A.V 5.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
33	Yanda_Dom	ARMPIT	kà-gádà	k a ¹ + ɡ a ⁵ d a ¹	109	k a ¹ + ɡ a ⁵ d a ¹ ( - - - - - )	1 7 8 9 1 7 8 1 7 8	AXT_AXTBYT	KA6_KA6TA6	22	22.K.C 22.A.V 22.6.T 22._._ 22.K.C 22.A.V 22.6.T 22.T.C 22.A.V 22.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
34	Najamba	ARMPIT	kàkàrâ:-kùl	k a ¹ k a ¹ r aː ⁵¹ + k u ¹ l	109	k a ¹ + k a ¹ r aː ⁵¹ ( + k u ¹ l )	1 7 8 1 7 8 5 7 8 9 1 7 8 5	AXTBYTBYT_AXTN	KA6KA6RA3_KY6L	11	11.K.C 11.A.V 11.6.T 11.K.C 11.A.V 11.6.T 11.R.C 11.A.V 11.3.T 11._._ 11.K.C 11.Y.V 11.6.T 11.L.c	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	0
35	Donno_So	ARMPIT	kárù-kàrù	k a ⁵ r u ¹ + k a ¹ r u ¹	109	k a ⁵ r u ¹ + k a ¹ r u ¹ ( - - - - - - - )	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KA6RY6_KA6RY6	6	6.K.C 6.A.V 6.6.T 6.R.C 6.Y.V 6.6.T 6._._ 6.K.C 6.A.V 6.6.T 6.R.C 6.Y.V 6.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
36	Jamsay	ARMPIT	kì-kàrá	k i ¹ + k a ¹ r a ⁵	109	k i ¹ + k a ¹ r a ⁵ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KI6_KA6RA6	9	9.K.C 9.I.V 9.6.T 9._._ 9.K.C 9.A.V 9.6.T 9.R.C 9.A.V 9.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
37	Tomo_Kan	ARMPIT	kì-kàrà	k i ¹ + k a ¹ r a ¹	109	k i ¹ + k a ¹ r a ¹ ( - - - - - )	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KI6_KA6RA6	20	20.K.C 20.I.V 20.6.T 20._._ 20.K.C 20.A.V 20.6.T 20.R.C 20.A.V 20.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
38	Tiranige_Diga	ARMPIT	kàrà-kàrà	k a ¹ r a ¹ + k a ¹ r a ¹	109	k a ¹ r a ¹ + k a ¹ r a ¹ ( - - - - - - - )	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KA6RA6_KA6RA6	17	17.K.C 17.A.V 17.6.T 17.R.C 17.A.V 17.6.T 17._._ 17.K.C 17.A.V 17.6.T 17.R.C 17.A.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
39	Mombo	ARMPIT	kárá-kárá_súgù	k a ⁵ r a ⁵ + k a ⁵ r a ⁵ _ s u ⁵ ɡ u ¹	109	k a ⁵ r a ⁵ + k a ⁵ r a ⁵ ( _ s u ⁵ ɡ u ¹ )	1 7 8 5 7 8 9 1 7 8 5 7 8 9 3 7 8 1 7 8	AXTBYT_AXTBYT_AXTBYT	KA6RA6_KA6RA6_SY6KY6	10	10.K.C 10.A.V 10.6.T 10.R.C 10.A.V 10.6.T 10._._ 10.K.C 10.A.V 10.6.T 10.R.C 10.A.V 10.6.T 10._._ 10.S.C 10.Y.V 10.6.T 10.K.C 10.Y.V 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
40	Penange	ARMPIT	kàrà-kàrà	k a ¹ r a ¹ + k a ¹ r a ¹	109	k a ¹ r a ¹ + k a ¹ r a ¹ ( - - - - - - - )	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KA6RA6_KA6RA6	13	13.K.C 13.A.V 13.6.T 13.R.C 13.A.V 13.6.T 13._._ 13.K.C 13.A.V 13.6.T 13.R.C 13.A.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
41	Bangime	ARRIVE	twàà-rà	t w aː ¹ + r a ¹	35	t w aː ¹ ( + r a ) ¹	1 6 7 8 9 5 7 8	ACXT_AXT	TWA6_RA6	1	1.T.C 1.W.C 1.A.V 1.6.T 1._._ 1.R.C 1.A.V 1.6.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0
42	Toro_Tegu	ARRIVE	dɔ́	d ɔ ⁵	35	d ɔ ⁵	1 7 8	AXT	TU6	21	21.T.C 21.U.V 21.6.T	1.6 3.0 1.0	0
43	Ben_Tey	ARRIVE	dɔ̌	d ɔ ¹⁵	35	d ɔ ¹⁵	1 7 8	AXT	TU2	3	3.T.C 3.U.V 3.2.T	1.6 3.0 1.0	0
44	Nanga	ARRIVE	dɔ̌:	d ɔː ¹⁵	35	d ɔː ¹⁵	1 7 8	AXT	TU2	12	12.T.C 12.U.V 12.2.T	1.6 3.0 1.0	0
45	Gourou	ARRIVE	dɔ́:	d ɔː	35	d ɔː ⁵	1 7	AX	TU	7	7.T.C 7.U.V	2.0 1.5	0
46	Yorno_So	ARRIVE	dɔ̌:	d ɔː ¹⁵	35	d ɔː ¹⁵	1 7 8	AXT	TU2	23	23.T.C 23.U.V 23.2.T	1.6 3.0 1.0	0
47	Tommo_So	ARRIVE	dɔ̀ɔ́	d ɔː ¹⁵	35	d ɔː ¹⁵	1 7 8	AXT	TU2	19	19.T.C 19.U.V 19.2.T	1.6 3.0 1.0	0
48	Dogul_Dom	ARRIVE	dèé	d eː ¹⁵	35	d eː ¹⁵	1 7 8	AXT	TE2	5	5.T.C 5.E.V 5.2.T	1.6 3.0 1.0	0
49	Tebul_Ure	ARRIVE	dɔ̌	d ɔ ¹⁵	35	d ɔ ¹⁵	1 7 8	AXT	TU2	16	16.T.C 16.U.V 16.2.T	1.6 3.0 1.0	0
50	Najamba	ARRIVE	dw-ɛ̂:	d w + ɛː ⁵¹	35	d w ɛː ⁵¹	1 6 9 7 8	AC_XT	TW_E3	11	11.T.C 11.W.C 11._._ 11.E.V 11.3.T	1.6 1.2 0.0 3.0 1.0	0
51	Bunoge	ARRIVE	dínnɛ̀	d i ⁵ n n ɛ ¹	127	d i ⁵ n: ɛ ¹ ( - - - - )	1 7 8 4 4 7 8	AXTMBYT	TI6NNE6	4	4.T.C 4.I.V 4.6.T 4.N.c 4.N.C 4.E.V 4.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
52	Tiranige_Diga	ARRIVE	áyó	a ⁵ j o ⁵	135	a ⁵ j o ⁵	7 8 6 7 8	XTBYT	A6JU6	17	17.A.V 17.6.T 17.J.C 17.U.V 17.6.T	3.0 1.0 1.3 3.0 1.0	0
53	Mombo	ARRIVE	dín-yɛ̂:	d i ⁵ n + j ɛː ⁵¹	127	d i ⁵ n ?- ?- ( + j ɛː ⁵¹ )	1 7 8 4 9 6 7 8	AXTN_AXT	TI6N_JE3	10	10.T.C 10.I.V 10.6.T 10.N.c 10._._ 10.J.C 10.E.V 10.3.T	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	0
54	Penange	ARRIVE	túb-yɛ̀	t u ⁵ b + j ɛ ¹	130	t u ⁵ b ( + j ɛ ¹ )	1 7 8 1 9 6 7 8	AXTN_AXT	TY6P_JE6	13	13.T.C 13.Y.V 13.6.T 13.P.c 13._._ 13.J.C 13.E.V 13.6.T	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	0
55	Bankan_Tey	ARRIVE	dɔ́	d ɔ ⁵	35	d ɔ ⁵	1 7 8	AXT	TU6	2	2.T.C 2.U.V 2.6.T	1.6 3.0 1.0	0
56	Jamsay	ARRIVE	dɔ̌:	d ɔː ¹⁵	35	d ɔː ¹⁵	1 7 8	AXT	TU2	9	9.T.C 9.U.V 9.2.T	1.6 3.0 1.0	0
57	Perge_Tegu	ARRIVE	dɔ̌:	d ɔː ¹⁵	35	d ɔː ¹⁵	1 7 8	AXT	TU2	14	14.T.C 14.U.V 14.2.T	1.6 3.0 1.0	0
58	Tomo_Kan	ARRIVE	dɔ̌:	d ɔː ¹⁵	35	d ɔː ¹⁵	1 7 8	AXT	TU2	20	20.T.C 20.U.V 20.2.T	1.6 3.0 1.0	0
59	Yanda_Dom	ARRIVE	dɔ́	d ɔ ⁵	35	d ɔ ⁵	1 7 8	AXT	TU6	22	22.T.C 22.U.V 22.6.T	1.6 3.0 1.0	0
60	Togo_Kan	ARRIVE	dɔ̌:	d ɔː ¹⁵	35	d ɔː ¹⁵	1 7 8	AXT	TU2	18	18.T.C 18.U.V 18.2.T	1.6 3.0 1.0	0
61	Toro_Tegu	ASH	dòwⁿòsú	d o ¹ w̃ ∼ o ¹ s u ⁵	8476	d o ¹ w̃ ∼ o ¹ ( + s - u ⁵ )	1 7 8 6 4 7 8 3 7 8	AXTMBYTBYT	TU6W9U6SY6	21	21.T.C 21.U.V 21.6.T 21.W.c 21.9.C 21.U.V 21.6.T 21.S.C 21.Y.V 21.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0	0
62	Ben_Tey	ASH	dɔ̀yⁿɔ̌yⁿ	d ɔ ¹ j ∼ ɔ ¹⁵ j ∼	5	d ɔ ¹ j ∼ ɔ ¹⁵ ( - j ∼ - - )	1 7 8 6 4 7 8 6 4	AXTMBYTLN	TU6J9U2J9	3	3.T.C 3.U.V 3.6.T 3.J.c 3.9.C 3.U.V 3.2.T 3.J.c 3.9.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.1 0.5	0
63	Nanga	ASH	dùyá	d u ¹ j a ⁵	5	d u ¹ j a ⁵ ( - - - - - )	1 7 8 6 7 8	AXTBYT	TY6JA6	12	12.T.C 12.Y.V 12.6.T 12.J.C 12.A.V 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
64	Perge_Tegu	ASH	dɔ̀yⁿɔ́	d ɔ ¹ j ∼ ɔ ⁵	5	d ɔ ¹ j ∼ ɔ ⁵ ( - - - - - )	1 7 8 6 4 7 8	AXTMBYT	TU6J9U6	14	14.T.C 14.U.V 14.6.T 14.J.c 14.9.C 14.U.V 14.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
65	Gourou	ASH	ɛ́:rⁿɛ̀	ɛː ⁵ r̃ ∼ ɛ ¹	3	ɛː ⁵ r̃ ∼ ɛ ¹	7 8 5 4 7 8	XTMBYT	E6R9E6	7	7.E.V 7.6.T 7.R.c 7.9.C 7.E.V 7.6.T	3.0 1.0 1.1 1.3 3.0 1.0	0
66	Togo_Kan	ASH	dɔ̀yⁿɛ́	d ɔ ¹ j ∼ ɛ ⁵	5	d ɔ ¹ j ∼ ɛ ⁵ ( - - - - - )	1 7 8 6 4 7 8	AXTMBYT	TU6J9E6	18	18.T.C 18.U.V 18.6.T 18.J.c 18.9.C 18.E.V 18.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
67	Yorno_So	ASH	únɔ̀	u ⁵ n ɔ ¹	57	( - ) u ⁵ n ?- ɔ ¹	7 8 4 7 8	XTBYT	Y6NU6	23	23.Y.V 23.6.T 23.N.C 23.U.V 23.6.T	3.0 1.0 1.3 3.0 1.0	0
68	Tommo_So	ASH	úndɔ́	u ⁵ n d ɔ ⁵	57	( - ) u ⁵ n d ɔ ⁵	7 8 4 1 7 8	XTMBYT	Y6NTU6	19	19.Y.V 19.6.T 19.N.c 19.T.C 19.U.V 19.6.T	3.0 1.0 1.1 1.3 3.0 1.0	0
69	Dogul_Dom	ASH	dɔ́ɔ̀	d ɔː ⁵¹	8476	d ɔː ⁵¹ ?- ?- ?- ?- ( - - - - - )	1 7 8	AXT	TU3	5	5.T.C 5.U.V 5.3.T	1.6 3.0 1.0	0
70	Tebul_Ure	ASH	dɔ̀ɛ́	d ɔ ¹ ɛ ⁵	6	d ɔ ¹ ?- ?- ɛ ⁵ ( - - - - - )	1 7 8 7 8	AXTYT	TU6E6	16	16.T.C 16.U.V 16.6.T 16.E.V 16.6.T	1.6 3.0 1.0 3.0 1.0	0
71	Yanda_Dom	ASH	dɔ̀yⁿɛ̀	d ɔ ¹ j ∼ ɛ ¹	5	d ɔ ¹ j ∼ ɛ ¹ ( - - - - - )	1 7 8 6 4 7 8	AXTMBYT	TU6J9E6	22	22.T.C 22.U.V 22.6.T 22.J.c 22.9.C 22.E.V 22.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
72	Najamba	ASH	dɔ̀dɛ̌:-ŋgó	d ɔ ¹ d ɛː ¹⁵ + ŋ ɡ o ⁵	2	d ɔ ¹ d ɛː ¹⁵ ( + ŋ ɡ o ⁵ )	1 7 8 1 7 8 9 4 1 7 8	AXTBYT_ACYT	TU6TE2_NKU6	11	11.T.C 11.U.V 11.6.T 11.T.C 11.E.V 11.2.T 11._._ 11.N.C 11.K.C 11.U.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0
73	Bunoge	ASH	díwɔ̀	d i ⁵ w ɔ ¹	4	d i ⁵ w ɔ ¹ ( - - - - - )	1 7 8 6 7 8	AXTBYT	TI6WU6	4	4.T.C 4.I.V 4.6.T 4.W.C 4.U.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
