PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGIDS
Dogon:1 Songhai:2	0	0	1	0	2	1	1220	CHICKEN
Bangime:1 Dogon:3	0	1	3	0	0	2	1502 6263	COW, SHOW
Dogon:5 Songhai:1	0	0	5	0	1	1	1970	EAT
Bangime:1 Mande:1	0	1	0	1	0	2	2040 2438	EIGHT, FIGHT
Bangime:1 Dogon:1	0	1	1	0	0	2	2237 4990	FALL, NINE
Dogon:4	0	0	4	0	0	2	2653 7146	FLOWER, TAIL
Dogon:1 Songhai:1	0	0	1	0	1	3	2666 2989 5797	FLOWER, FULL, ROOT
Mande:1 Songhai:1	0	0	0	1	1	1	2669	FLOWER
Bangime:1 Dogon:5 Mande:1	0	1	5	1	0	1	4341	LOUSE
Bangime:1 Dogon:2	0	1	2	0	0	2	5579 6862	PUSH, STAR
Atlantic:1 Songhai:2	1	0	0	0	2	1	7093	SWEEP
