PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGIDS
	0	0	0	0	0	851	201 205 206 208 211 212 220 226 227 232 233 234 269 236 238 239 245 248 251 255 257 260 267 268 270 351 352 356 361 362 369 378 421 423 427 426 432 433 434 435 442 445 448 449 454 453 455 457 458 459 460 466 469 476 478 481 482 489 490 491 493 494 495 502 514 611 648 613 615 620 624 625 638 639 641 642 647 717 718 722 723 730 731 732 745 746 793 794 798 804 806 807 815 818 819 824 825 827 833 830 835 836 838 850 860 861 857 907 909 911 924 925 930 933 934 937 1163 1165 1168 1174 1177 1183 1184 1188 1189 1194 1193 1195 1197 1203 1209 1216 1222 1229 1230 1234 1235 1260 1262 1264 1266 1269 1275 1278 1283 1290 1293 1296 1297 1351 1362 1371 1378 1384 1385 1386 1389 1390 1401 1409 1501 1512 1520 1529 1530 1532 1534 1535 1537 1539 1543 1544 1551 1559 1587 1588 1592 1593 1598 1620 1763 1765 1766 1767 1769 1770 1771 1772 1775 1782 1783 1785 1788 1796 1794 1845 1852 1853 1905 1937 1907 1908 1912 1940 1916 1917 1930 1933 1934 1935 1942 1946 1954 1951 1952 1967 1968 1981 1988 1994 1998 2001 2002 2000 2004 2009 2014 2030 2038 2060 2069 2179 2183 2184 2185 2205 2213 2236 2238 2239 2241 2244 2246 2247 2248 2255 2261 2269 2263 2266 2267 2265 2350 2352 2370 2371 2378 2383 2404 2405 2407 2413 2415 2416 2428 2437 2429 2431 2433 2443 2449 2450 2463 2464 2466 2469 2476 2484 2490 2496 2501 2591 2594 2596 2597 2599 2600 2603 2616 2622 2655 2656 2660 2663 2665 2677 2707 2708 2711 2718 2720 2733 2734 2736 2904 2906 2908 2909 2939 2910 2912 2917 2925 2930 2934 2940 2942 2943 2945 2953 2966 2967 2969 2972 2970 2973 2975 2981 2977 3011 2979 2983 2988 2992 2996 3006 3001 3037 3039 3041 3042 3048 3063 3069 3073 3080 3096 3097 3103 3102 3253 3254 3256 3257 3258 3259 3267 3272 3278 3282 3284 3420 3424 3425 3428 3430 3431 3434 3441 3444 3449 3505 3509 3510 3516 3517 3518 3524 3525 3529 3538 3535 3534 3539 3544 3547 3550 3553 3559 3565 3569 3573 3571 3601 3606 3622 3623 3627 3637 3642 3648 3655 3677 3679 3680 3681 3682 3683 3687 3688 3689 3690 3695 3698 3701 3704 3707 3708 3706 3748 3750 3752 3753 3754 3755 3758 3759 3762 3769 3775 3781 3804 3818 3823 3824 3828 3829 3831 3835 3833 3878 3880 3887 3888 3889 3901 3904 4023 4028 4047 4050 4056 4057 4058 4060 4063 4069 4079 4093 4111 4115 4116 4119 4124 4125 4131 4136 4160 4167 4179 4186 4188 4189 4192 4191 4306 4308 4311 4315 4319 4321 4331 4340 4332 4337 4343 4344 4345 4362 4368 4403 4405 4406 4407 4408 4424 4430 4431 4433 4437 4439 4441 4442 4443 4451 4462 4468 4607 4609 4610 4630 4631 4633 4666 4639 4648 4660 4696 4698 4699 4700 4701 4703 4707 4708 4709 4710 4715 4721 4724 4725 4726 4745 4747 4749 4757 4758 4764 4769 4797 4798 4800 4801 4802 4807 4808 4818 4819 4824 4830 4960 4961 4963 4964 4965 4971 4981 4987 4989 5025 4991 5001 5010 5017 5023 5021 5050 5051 5055 5057 5077 5084 5185 5187 5188 5189 5190 5191 5192 5194 5197 5198 5208 5216 5215 5338 5340 5342 5351 5352 5359 5360 5365 5366 5369 5372 5373 5374 5371 5420 5422 5423 5424 5425 5446 5447 5452 5453 5454 5562 5575 5592 5770 5771 5802 5777 5780 5783 5788 5792 5795 5798 5799 5803 5807 5808 5815 5831 5833 5834 5832 5881 5882 5887 5895 5903 5910 5913 5914 5916 5917 5919 5920 5925 5926 5928 5935 5936 5941 5945 5947 5946 6005 6006 6011 6017 6018 6019 6029 6032 6034 6087 6089 6100 6106 6107 6112 6144 6145 6146 6148 6155 6158 6162 6169 6173 6175 6262 6264 6266 6267 6274 6275 6286 6292 6335 6340 6354 6360 6369 6365 6370 6371 6373 6376 6384 6385 6395 6398 6408 6399 6405 6404 6410 6457 6459 6462 6465 6468 6469 6470 6474 6478 6481 6484 6486 6489 6589 6593 6594 6602 6612 6613 6615 6617 6618 6625 6634 6639 6642 6644 6645 6646 6648 6650 6651 6655 6654 6658 6659 6660 6667 6668 6673 6674 6678 6683 6731 6732 6733 6763 6735 6736 6737 6738 6741 6754 6757 6760 6860 6861 6863 6865 6872 6881 6882 6886 6891 6987 7021 7022 6989 6991 6992 6994 6995 7012 7019 7023 7024 7026 7028 7029 7031 7034 7037 7038 7044 7070 7072 7073 7079 7081 7089 7095 7101 7147 7152 7158 7159 7173 7180 7337 7339 7341 7344 7347 7350 7361 7362 7364 7368 7367 7387 7389 7412 7679 7683 7693 7707 7807 7810 7818 7819 7825 7840 7832 7872 7880 7881 7901 7887 8045 8047 8056 8072 8077 8080 8082 8086 8097 8212 8215 8216 8221 8224 8231 8237 8240 8243 8246	BAD, BAD, BAD, BAD, BAD, BAD, BAD, BAD, BAD, BAD, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BELLY, BELLY, BELLY, BELLY, BELLY, BELLY, BELLY, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BITE, BITE, BITE, BITE, BITE, BITE, BITE, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BLOOD, BONE, BONE, BONE, BONE, BONE, BONE, BONE, BONE, BONE, BREAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), CHEST, CHEST, CHEST, CHEST, CHEST, CHEST, CHEST, CHEST, CHEST, CHEST, CHEST, CHICKEN, CHICKEN, CHICKEN, CHICKEN, CHICKEN, CHICKEN, CHICKEN, CHIEFTAIN, CHIEFTAIN, CHIEFTAIN, CHIEFTAIN, CHIEFTAIN, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, COLD, COLD, COLD, COLD, COLD, COLD, COME, COME, COME, COME, COME, COW, COW, COW, COW, CRY, CRY, CRY, CRY, CRY, CRY, CRY, CRY, CRY, CRY, DIE, DIE, DIE, DIE, DIE, DIE, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DRINK, DRINK, DRINK, DUST, DUST, DUST, DUST, DUST, DUST, DUST, DUST, DUST, DUST, DUST, DUST, EAR, EAR, EAR, EAR, EAR, EAT, EAT, EAT, EAT, EAT, EAT, EAT, EAT, EAT, EGG, EGG, EGG, EGG, EGG, EIGHT, EIGHT, EYE, EYE, EYE, EYE, EYE, EYE, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FALL, FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FIGHT, FIGHT, FIGHT, FIGHT, FIGHT, FIGHT, FIGHT, FIND, FIND, FIND, FIND, FIND, FISH, FISH, FISH, FISH, FISH, FISH, FISH, FISH, FISH, FLOWER, FLOWER, FLOWER, FLOWER, FLOWER, FLOWER, FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FOUR, FOUR, FOUR, FOUR, FOUR, FOUR, FOUR, FOUR, FOUR, FOUR, FOUR, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FULL, FULL, FULL, FULL, FULL, FULL, FULL, FULL, FULL, FULL, FULL, GIVE, GIVE, GIVE, GIVE, GIVE, GIVE, GIVE, GIVE BIRTH, GIVE BIRTH, GIVE BIRTH, GIVE BIRTH, GIVE BIRTH, GIVE BIRTH, GOOD, GOOD, GOOD, GOOD, GOOD, GOOD, GOOD, GOOD, GOOD, GOOD, GOOD, HEAD, HEAD, HEAD, HEAD, HEAD, HEAD, HEAD, HEAD, HEAD, HEAD, HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIP, HIP, HIP, HIP, HIP, HIP, HIP, HIP, HIP, HIP, HORN (ANATOMY), HORN (ANATOMY), HORN (ANATOMY), HORSE, HORSE, HORSE, HORSE, HORSE, HORSE, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, IRON, IRON, IRON, IRON, IRON, IRON, IRON, IRON, IRON, KILL, KILL, KILL, KILL, KILL, KILL, KILL, LAUGH, LAUGH, LAUGH, LAUGH, LAUGH, LEAF, LEAF, LEAF, LEAF, LEAF, LEAF, LEAF, LEFT, LEFT, LEFT, LEFT, LEFT, LEFT, LEFT, LEFT, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOUSE, LOUSE, LOUSE, LOUSE, LOUSE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAN, MAN, MAN, MAN, MAN, MAN, MAN, MILK, MILK, MILK, MILK, MILK, MILK, MILLET, MILLET, MILLET, MILLET, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOON, MOTHER, MOTHER, MOTHER, MOTHER, MOTHER, MOTHER, MOTHER, MOUTH, MOUTH, MOUTH, MOUTH, MOUTH, MOUTH, MOUTH, MOUTH, MOUTH, MOUTH, MOUTH, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NINE, NINE, NINE, NINE, NINE, NINE, NINE, NINE, NOSE, NOSE, NOSE, NOSE, NOSE, NOSE, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PISS, PISS, PISS, PISS, PISS, PISS, PISS, PISS, PISS, PISS, PUSH, PUSH, PUSH, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, SALT, SALT, SALT, SALT, SALT, SALT, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SEE, SEE, SEE, SEE, SEE, SEE, SEE, SEE, SEE, SEVEN, SEVEN, SEVEN, SEVEN, SEVEN, SEVEN, SHARP, SHARP, SHARP, SHARP, SHARP, SHARP, SHARP, SHARP, SHARP, SHARP, SHOW, SHOW, SHOW, SHOW, SHOW, SHOW, SHOW, SHOW, SING, SING, SING, SING, SING, SING, SIT, SIT, SIT, SIT, SIT, SIT, SIT, SIT, SIT, SIT, SIT, SIT, SIX, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SMOKE, SMOKE, SMOKE, SMOKE, SMOKE, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, STAR, STAR, STAR, STAR, STAR, STAR, STAR, STAR, STAR, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUN, SUN, SUN, SUN, SUN, SUN, SUN, SUN, SUN, SUN, SWEEP, SWEEP, SWEEP, SWEEP, SWEEP, SWEEP, SWEEP, SWEEP, TAIL, TAIL, TAIL, TAIL, TAIL, TAIL, THORN, THORN, THORN, THORN, THORN, THORN, THORN, THORN, THORN, THORN, THORN, THREE, THREE, THREE, TREE, TREE, TREE, TREE, VILLAGE, VILLAGE, VILLAGE, VILLAGE, VILLAGE, VILLAGE, VILLAGE, WATER, WATER, WATER, WATER, WATER, WING, WING, WING, WING, WOMAN, WOMAN, WOMAN, WOMAN, WOMAN, YEAR, YEAR, YEAR, YEAR, YEAR, YEAR, YEAR, YEAR, YEAR, YEAR
Bangime:1	0	1	0	0	0	89	202 235 353 422 456 492 612 719 795 826 908 1196 1231 1265 1352 1387 1531 1589 1762 1821 1904 1943 1969 2005 2180 2351 2403 2590 2652 2709 2905 2941 2976 3038 3070 3255 3421 3506 3540 3600 3624 3678 3749 3805 3877 4024 4059 4112 4161 4307 4404 4440 4606 4636 4697 4746 4799 4962 5052 5186 5339 5421 5772 5804 5883 5915 6007 6088 6142 6336 6372 6411 6458 6590 6614 6647 6728 6988 7025 7069 7148 7338 7388 7680 7806 7868 8046 8076 8211	BAD, BARK, BELLY, BIG, BIRD, BITE, BLOOD, BONE, BREAST, BREATHE, BURN (SOMETHING), CHICKEN, CHIEFTAIN, CHILD, COLD, COME, CRY, DIE, DOOR, DRINK, DUST, EAR, EAT, EGG, EYE, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FISH, FLOWER, FLY (MOVE THROUGH AIR), FOUR, FRIEND, FULL, GIVE, GIVE BIRTH, GOOD, HEAD, HIDE (CONCEAL), HIP, HORN (ANATOMY), HORSE, HOT, HUSBAND, IRON, KILL, LAUGH, LEAF, LEFT, LIE DOWN, LOOK FOR, MAIZE, MAN, MILK, MILLET, MOON, MOTHER, MOUTH, NIGHT, NOSE, OPEN, PESTLE, PISS, ROOT, ROTTEN, SALT, SAND, SEE, SEVEN, SHARP, SING, SIT, SIX, SKY, SMOKE, SMOOTH, SNAKE, SPEAR, SUCK, SUN, SWEEP, TAIL, THORN, THREE, TREE, VILLAGE, WATER, WING, WOMAN, YEAR
Dogon:1	0	0	1	0	0	265	203 213 214 215 228 247 249 252 256 262 265 354 364 371 436 438 468 474 477 503 610 628 720 733 738 739 741 750 811 814 820 839 842 844 919 920 922 923 926 1176 1178 1218 1245 1253 1263 1280 1286 1350 1353 1365 1370 1373 1545 1547 1560 1558 1602 1601 1603 1605 1607 1617 1774 1778 1784 1838 1850 1918 1944 1945 1983 2017 2035 2249 2251 2262 2349 2372 2373 2380 2417 2419 2421 2422 2424 2440 2451 2456 2457 2459 2498 2618 2620 2671 2721 2726 2727 2932 2954 2956 2965 2990 3003 3050 3052 3054 3071 3084 3101 3268 3270 3280 3438 3447 3451 3507 3521 3523 3526 3531 3541 3552 3555 3558 3562 3566 3644 3692 3702 3763 3765 3806 3819 3830 3879 3891 3892 3906 4040 4043 4054 4072 4073 4075 4089 4113 4126 4138 4190 4322 4325 4334 4358 4378 4416 4418 4420 4435 4438 4452 4453 4467 4619 4623 4635 4650 4654 4665 4711 4713 4723 4756 4771 4812 4826 4974 4975 4984 5006 5079 5204 5205 5212 5353 5355 5358 5361 5367 5370 5434 5437 5451 5576 5584 5784 5791 5794 5805 5820 5897 5901 5909 5912 5929 5931 5943 6021 6023 6026 6031 6086 6103 6143 6154 6156 6161 6164 6170 6276 6355 6362 6386 6391 6392 6394 6432 6471 6475 6485 6626 6630 6661 6663 6669 6682 6677 6729 6742 6744 6747 6756 7005 7006 7009 7054 7041 7043 7046 7051 7097 7169 7349 7351 7363 7403 7833 7869 8048 8058 8065 8074 8075 8091 8105 8239	BAD, BAD, BAD, BAD, BAD, BARK, BARK, BARK, BARK, BARK, BARK, BELLY, BELLY, BELLY, BIG, BIG, BIRD, BIRD, BIRD, BITE, BLOOD, BLOOD, BONE, BONE, BONE, BONE, BONE, BONE, BREAST, BREAST, BREAST, BREATHE, BREATHE, BREATHE, BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), CHEST, CHEST, CHICKEN, CHIEFTAIN, CHIEFTAIN, CHILD, CHILD, CHILD, COLD, COLD, COLD, COLD, COLD, CRY, CRY, CRY, CRY, DIE, DIE, DIE, DIE, DIE, DIE, DOOR, DOOR, DOOR, DRINK, DRINK, DUST, EAR, EAR, EAT, EGG, EGG, FALL, FALL, FALL, FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FIGHT, FIGHT, FIGHT, FIGHT, FIGHT, FIND, FISH, FISH, FLOWER, FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FOUR, FRIEND, FRIEND, FRIEND, FULL, FULL, GIVE, GIVE, GIVE, GIVE BIRTH, GIVE BIRTH, GIVE BIRTH, GOOD, GOOD, GOOD, HEAD, HEAD, HEAD, HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIP, HIP, HIP, HIP, HIP, HIP, HORSE, HOT, HOT, HUSBAND, HUSBAND, IRON, IRON, IRON, KILL, KILL, KILL, KILL, LAUGH, LAUGH, LAUGH, LEAF, LEAF, LEAF, LEAF, LEFT, LEFT, LEFT, LIE DOWN, LOOK FOR, LOOK FOR, LOOK FOR, LOUSE, LOUSE, MAIZE, MAIZE, MAIZE, MAIZE, MAN, MAN, MAN, MAN, MILK, MILK, MILK, MILLET, MILLET, MILLET, MOON, MOON, MOON, MOTHER, MOTHER, MOUTH, MOUTH, NIGHT, NIGHT, NIGHT, NINE, NOSE, OPEN, OPEN, OPEN, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PISS, PISS, PISS, PUSH, PUSH, ROOT, ROOT, ROOT, ROTTEN, ROTTEN, SALT, SALT, SALT, SALT, SAND, SAND, SAND, SEE, SEE, SEE, SEE, SEVEN, SEVEN, SHARP, SHARP, SHARP, SHARP, SHARP, SHARP, SHOW, SING, SING, SIT, SIT, SIT, SIT, SIX, SKY, SKY, SKY, SMOOTH, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SUCK, SUCK, SUCK, SUN, SUN, SUN, SUN, SUN, SWEEP, TAIL, THORN, THORN, THORN, THREE, VILLAGE, WATER, WING, WING, WING, WING, WOMAN, WOMAN, WOMAN, YEAR
Atlantic:1	1	0	0	0	0	93	216 250 365 437 471 505 627 734 808 840 921 1179 1211 1246 1279 1367 1402 1516 1546 1604 1777 1835 1919 1957 1984 2020 2056 2195 2250 2366 2418 2453 2486 2605 2667 2722 2920 2955 2991 3053 3085 3269 3436 3613 3638 3691 3764 4039 4074 4127 4175 4320 4357 4419 4620 4649 4712 4759 4814 4976 5005 5066 5200 5354 5436 5578 5787 5819 5898 5930 6020 6102 6157 6277 6349 6387 6425 6473 6629 6662 6743 6877 7003 7040 7084 7162 7402 7695 7821 7883 8061 8090 8226	BAD, BARK, BELLY, BIG, BIRD, BITE, BLOOD, BONE, BREAST, BREATHE, BURN (SOMETHING), CHEST, CHICKEN, CHIEFTAIN, CHILD, COLD, COME, COW, CRY, DIE, DOOR, DRINK, DUST, EAR, EAT, EGG, EIGHT, EYE, FALL, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FIGHT, FIND, FISH, FLOWER, FLY (MOVE THROUGH AIR), FOUR, FRIEND, FULL, GIVE, GIVE BIRTH, GOOD, HEAD, HORN (ANATOMY), HORSE, HOT, HUSBAND, LAUGH, LEAF, LEFT, LIE DOWN, LOOK FOR, LOUSE, MAIZE, MILK, MILLET, MOON, MOTHER, MOUTH, NIGHT, NINE, NOSE, OPEN, PESTLE, PISS, PUSH, ROOT, ROTTEN, SALT, SAND, SEE, SEVEN, SHARP, SHOW, SING, SIT, SIX, SKY, SMOOTH, SNAKE, SPEAR, STAR, SUCK, SUN, SWEEP, TAIL, THREE, TREE, VILLAGE, WATER, WING, WOMAN, YEAR
Mande:1	0	0	0	1	0	86	218 253 357 440 473 507 617 737 797 1199 1249 1355 1391 1506 1540 1606 1780 1820 1922 1960 1972 2008 2197 2240 2354 2406 2477 2593 2725 2911 2947 2994 3055 3075 3439 3543 3603 3640 3693 3767 3809 3881 4027 4062 4165 4310 4422 4447 4611 4641 4750 4804 4979 4993 5069 5203 5357 5439 5566 5775 5821 5886 5918 6010 6091 6160 6279 6339 6375 6414 6461 6624 6652 6746 6866 7042 7087 7151 7340 7392 7697 7809 7871 8049 8079 8214	BAD, BARK, BELLY, BIG, BIRD, BITE, BLOOD, BONE, BREAST, CHICKEN, CHIEFTAIN, COLD, COME, COW, CRY, DIE, DOOR, DRINK, DUST, EAR, EAT, EGG, EYE, FALL, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FIND, FISH, FLY (MOVE THROUGH AIR), FOUR, FRIEND, FULL, GIVE, GIVE BIRTH, HEAD, HIP, HORN (ANATOMY), HORSE, HOT, HUSBAND, IRON, KILL, LAUGH, LEAF, LIE DOWN, LOOK FOR, MAIZE, MAN, MILK, MILLET, MOTHER, MOUTH, NIGHT, NINE, NOSE, OPEN, PESTLE, PISS, PUSH, ROOT, ROTTEN, SALT, SAND, SEE, SEVEN, SHARP, SHOW, SING, SIT, SIX, SKY, SMOOTH, SNAKE, SPEAR, STAR, SUN, SWEEP, TAIL, THORN, THREE, TREE, VILLAGE, WATER, WING, WOMAN, YEAR
Songhai:2	0	0	0	0	2	52	224 446 479 512 636 743 816 848 928 1255 1410 1612 1928 1966 2028 2203 2374 2426 2731 3061 3094 3445 3563 3646 3773 3899 4048 4082 4183 4628 4658 4719 4767 4822 5075 5209 5363 5586 5826 5906 6110 6166 6358 6396 6434 6671 7048 7359 7410 7829 8098 8235	BAD, BIG, BIRD, BITE, BLOOD, BONE, BREAST, BREATHE, BURN (SOMETHING), CHIEFTAIN, COME, DIE, DUST, EAR, EGG, EYE, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FLY (MOVE THROUGH AIR), GIVE, GIVE BIRTH, HEAD, HIP, HORSE, HUSBAND, KILL, LAUGH, LEAF, LIE DOWN, MILK, MILLET, MOON, MOTHER, MOUTH, NOSE, OPEN, PESTLE, PUSH, ROTTEN, SALT, SEVEN, SHARP, SING, SIT, SIX, SNAKE, SUN, THORN, THREE, VILLAGE, WOMAN, YEAR
Songhai:1	0	0	0	0	1	69	237 259 373 374 1288 1287 1376 1375 1525 1524 1556 1555 1786 1787 1843 1844 1992 2064 2065 2259 2260 2461 2462 2471 2495 2614 2615 2928 2929 2963 2962 3277 3276 3528 3621 3700 3699 3827 4134 4135 4330 4329 4366 4367 4429 4428 4461 4986 4985 5014 5015 5445 5595 5796 5940 5939 6028 6285 6482 6611 6638 6753 6752 7011 7172 7171 7891 8071 8070	BARK, BARK, BELLY, BELLY, CHILD, CHILD, COLD, COLD, COW, COW, CRY, CRY, DOOR, DOOR, DRINK, DRINK, EAT, EIGHT, EIGHT, FALL, FALL, FIGHT, FIGHT, FIGHT, FIND, FISH, FISH, FOUR, FOUR, FRIEND, FRIEND, GOOD, GOOD, HIDE (CONCEAL), HORN (ANATOMY), HOT, HOT, IRON, LEFT, LEFT, LOOK FOR, LOOK FOR, LOUSE, LOUSE, MAIZE, MAIZE, MAN, NIGHT, NIGHT, NINE, NINE, PISS, PUSH, ROOT, SAND, SAND, SEE, SHOW, SKY, SMOKE, SMOOTH, SPEAR, SPEAR, SUCK, TAIL, TAIL, WATER, WING, WING
Dogon:3	0	0	3	0	0	27	368 441 470 506 1232 1839 1955 2039 2178 2182 2473 3082 3419 3599 3761 4025 4159 5003 5433 6423 6588 6627 6874 6990 7386 7678 7866	BELLY, BIG, BIRD, BITE, CHIEFTAIN, DRINK, EAR, EIGHT, EYE, EYE, FIND, GIVE BIRTH, HEAD, HORN (ANATOMY), HUSBAND, LAUGH, LIE DOWN, NINE, PISS, SIX, SMOKE, SMOOTH, STAR, SUCK, THREE, TREE, WATER
Dogon:2	0	0	2	0	0	72	626 631 796 843 1180 1182 1198 1208 1282 1400 1403 1517 1550 1781 1920 1923 2003 2019 2055 2365 2589 2604 2724 2907 2918 2952 2974 3051 3266 3614 3625 3641 3676 3817 3876 4077 4129 4174 4324 4417 4456 4618 4647 4695 4762 4811 4815 4980 5053 5065 5199 5789 5806 5902 5927 6105 6353 6388 6477 6591 6666 7085 7088 7354 7694 7805 7820 7867 8059 8088 8210 8225	BLOOD, BLOOD, BREAST, BREATHE, CHEST, CHEST, CHICKEN, CHICKEN, CHILD, COME, COME, COW, CRY, DOOR, DUST, DUST, EGG, EGG, EIGHT, FAT (ORGANIC SUBSTANCE), FISH, FISH, FLY (MOVE THROUGH AIR), FOUR, FOUR, FRIEND, FULL, GIVE, GOOD, HORN (ANATOMY), HORSE, HORSE, HOT, IRON, KILL, LEAF, LEFT, LIE DOWN, LOOK FOR, MAIZE, MAN, MILK, MILLET, MOON, MOTHER, MOUTH, MOUTH, NIGHT, NOSE, NOSE, OPEN, ROOT, ROTTEN, SALT, SAND, SEVEN, SING, SIT, SKY, SMOKE, SNAKE, SWEEP, SWEEP, THORN, TREE, VILLAGE, VILLAGE, WATER, WING, WOMAN, YEAR, YEAR
Bangime:1 Songhai:1	0	1	0	0	1	2	1164 2472	CHEST, FIND
