PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGIDS
Bangime:1 Songhai:2	0	1	0	0	2	7	394 640 1660 2695 3217 3625 5356	BIRD, BONE, DUST, GIVE, HORSE, LEFT, SEVEN
Dogon:3	0	0	3	0	0	21	416 441 552 1694 1782 2278 3165 3236 3256 3656 4085 4383 4480 4590 5705 5849 6036 6733 6858 6890 7155	BIRD, BITE, BLOOD, EAR, EIGHT, FISH, HIP, HORSE, HOT, LIE DOWN, MILLET, NIGHT, NOSE, OPEN, SKY, SNAKE, STAR, TREE, VILLAGE, WATER, YEAR
Songhai:2	0	0	0	0	2	33	427 562 724 750 1213 1406 1774 1924 2125 2280 2736 3054 3580 3848 4066 4086 4156 4249 4602 5173 5230 5434 5603 5630 5668 5860 6205 6222 6464 6508 6867 7091 7180	BITE, BLOOD, BREAST, BREATHE, COME, DIE, EGG, EYE, FEAR (BE AFRAID), FISH, GIVE BIRTH, HEAD, LAUGH, LOUSE, MILK, MILLET, MOON, MOUTH, OPEN, SALT, SAND, SHARP, SING, SIT, SIX, SNAKE, SUN, SWEEP, THORN, THREE, VILLAGE, WOMAN, YEAR
Dogon:4 Mande:1	0	0	4	1	0	1	642	BONE
Bangime:1 Dogon:1	0	1	1	0	0	7	703 1383 3109 3556 3874 5410 7068	BREAST, DIE, HIDE (CONCEAL), LAUGH, MAIZE, SHARP, WOMAN
Atlantic:1 Dogon:1	1	0	1	0	0	1	715	BREAST
Dogon:1 Songhai:2	0	0	1	0	2	8	821 1064 1350 2082 2619 3161 4737 4907	BURN (SOMETHING), CHICKEN, CRY, FAT (ORGANIC SUBSTANCE), FRIEND, HIP, PESTLE, PUSH
Bangime:1 Dogon:4 Songhai:1	0	1	4	0	1	1	1022	CHEST
Atlantic:1 Dogon:3 Songhai:2	1	0	3	0	2	1	1087	CHIEFTAIN
Bangime:1 Dogon:5 Mande:1	0	1	5	1	0	2	1312 3823	COW, LOUSE
Dogon:2 Mande:1	0	0	2	1	0	2	1343 6891	CRY, WATER
Dogon:3 Mande:1	0	0	3	1	0	2	1550 4799	DOOR, PISS
Dogon:5	0	0	5	0	0	4	1601 2724 5188 5787	DRINK, GIVE BIRTH, SALT, SMOKE
Atlantic:1 Mande:1	1	0	0	1	0	1	1675	DUST
Bangime:1 Mande:1	0	1	0	1	0	3	1715 1783 2133	EAT, EIGHT, FIGHT
Dogon:6 Songhai:2	0	0	6	0	2	1	1717	EAT
Dogon:6	0	0	6	0	0	1	1899	EYE
Bangime:1 Dogon:1 Songhai:1	0	1	1	0	1	1	1958	FALL
Bangime:1 Mande:1 Songhai:1	0	1	0	1	1	1	2167	FIND
Dogon:6 Songhai:1	0	0	6	0	1	1	2332	FLOWER
Mande:1 Songhai:1	0	0	0	1	1	2	2334 4385	FLOWER, NIGHT
Bangime:1 Dogon:2 Mande:1 Songhai:2	0	1	2	1	2	1	2407	FLY (MOVE THROUGH AIR)
Atlantic:1 Bangime:1 Dogon:2	1	1	2	0	0	1	2564	FOUR
Dogon:1 Songhai:1	0	0	1	0	1	5	2589 3927 5109 5918 7058	FOUR, MAN, ROOT, SPEAR, WING
Bangime:1 Dogon:5 Songhai:1	0	1	5	0	1	1	3192	HORN (ANATOMY)
Mande:1 Songhai:2	0	0	0	1	2	2	3333 4470	HUSBAND, NOSE
Dogon:1 Mande:1 Songhai:2	0	0	1	1	2	1	3419	KILL
Dogon:5 Songhai:2	0	0	5	0	2	1	3607	LEAF
Atlantic:1 Dogon:2	1	0	2	0	0	1	3638	LEFT
Bangime:1 Dogon:1 Mande:1	0	1	1	1	0	1	4187	MOTHER
Dogon:3 Songhai:2	0	0	3	0	2	1	4186	MOTHER
Bangime:1 Dogon:4	0	1	4	0	0	4	4394 5519 5646 7041	NINE, SHOW, SIX, WING
Bangime:1 Dogon:3 Mande:1	0	1	3	1	0	1	4924	PUSH
Bangime:1 Dogon:5	0	1	5	0	0	1	6145	SUCK
Bangime:1 Dogon:3	0	1	3	0	0	1	6443	THORN
Atlantic:1 Bangime:1 Dogon:4	1	1	4	0	0	1	6487	THREE
