PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGIDS
	0	0	0	0	0	441	158 165 184 189 190 191 226 193 195 196 205 214 217 227 302 307 308 312 313 320 359 361 363 364 367 371 383 392 391 396 397 398 407 419 426 428 431 432 435 439 547 551 573 639 643 644 666 701 702 712 723 726 727 729 730 731 737 738 762 763 812 826 831 835 838 1017 1020 1042 1045 1051 1057 1070 1075 1101 1103 1105 1110 1116 1119 1124 1130 1134 1187 1191 1216 1217 1228 1308 1319 1338 1354 1382 1386 1387 1535 1536 1540 1542 1552 1566 1564 1661 1693 1664 1668 1689 1672 1699 1704 1714 1735 1741 1748 1760 1776 1900 1904 1906 1926 1934 1957 1962 1965 1969 1990 1987 2060 2103 2104 2112 2128 2132 2138 2145 2159 2179 2191 2283 2285 2305 2311 2335 2342 2350 2356 2388 2389 2414 2566 2569 2570 2604 2607 2610 2632 2634 2638 2640 2646 2644 2648 2653 2657 2666 2698 2699 2705 2715 2722 2739 2877 2878 2881 3033 3034 3039 3058 3063 3108 3112 3113 3119 3120 3141 3147 3150 3156 3174 3194 3199 3202 3215 3220 3257 3259 3261 3263 3268 3270 3275 3281 3284 3314 3316 3318 3319 3320 3324 3350 3360 3359 3370 3426 3442 3555 3563 3582 3588 3590 3592 3593 3595 3624 3628 3629 3657 3664 3685 3686 3791 3793 3796 3802 3806 3817 3822 3825 3827 3844 3873 3876 3877 3878 3882 3894 3900 3905 3915 3928 4045 4047 4048 4068 4071 4075 4077 4098 4133 4138 4145 4146 4175 4179 4188 4199 4224 4225 4229 4245 4366 4367 4369 4372 4377 4393 4395 4416 4423 4427 4452 4456 4458 4578 4580 4581 4582 4583 4584 4585 4601 4608 4712 4714 4716 4734 4743 4786 4788 4789 4790 4791 4812 4818 5087 5090 5094 5099 5100 5105 5115 5116 5118 5120 5121 5124 5128 5145 5178 5186 5201 5204 5205 5207 5210 5217 5219 5237 5292 5298 5299 5300 5310 5355 5357 5359 5368 5374 5380 5412 5414 5423 5440 5443 5518 5520 5522 5523 5530 5580 5585 5588 5605 5610 5618 5632 5642 5638 5644 5691 5696 5699 5703 5723 5785 5789 5790 5808 5810 5820 5821 5829 5834 5835 5837 5839 5840 5843 5856 5857 5862 5867 5872 5912 5913 5914 5917 5919 5935 5938 6033 6034 6045 6054 6064 6144 6178 6179 6148 6149 6151 6152 6169 6181 6183 6185 6186 6201 6224 6231 6233 6241 6286 6290 6291 6297 6312 6442 6446 6485 6490 6734 6738 6748 6762 6845 6848 6856 6901 6904 6911 7049 7073 7076 7078 7090 7157 7161 7165 7169 7176 7188	BAD, BAD, BAD, BAD, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BELLY, BELLY, BELLY, BELLY, BELLY, BELLY, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BITE, BITE, BITE, BITE, BITE, BLOOD, BLOOD, BLOOD, BONE, BONE, BONE, BONE, BREAST, BREAST, BREAST, BREAST, BREAST, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), CHEST, CHEST, CHEST, CHICKEN, CHICKEN, CHICKEN, CHICKEN, CHIEFTAIN, CHIEFTAIN, CHIEFTAIN, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, COLD, COLD, COME, COME, COME, COW, COW, CRY, CRY, DIE, DIE, DIE, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DUST, DUST, DUST, DUST, DUST, DUST, EAR, EAR, EAT, EAT, EAT, EAT, EGG, EGG, EYE, EYE, EYE, EYE, EYE, FALL, FALL, FALL, FALL, FALL, FALL, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FIGHT, FIGHT, FIGHT, FIND, FIND, FISH, FISH, FISH, FISH, FLOWER, FLOWER, FLOWER, FLOWER, FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FOUR, FOUR, FOUR, FOUR, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FULL, FULL, FULL, FULL, FULL, FULL, FULL, GIVE, GIVE, GIVE, GIVE BIRTH, GIVE BIRTH, GIVE BIRTH, GOOD, GOOD, GOOD, HEAD, HEAD, HEAD, HEAD, HEAD, HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIP, HIP, HIP, HIP, HORN (ANATOMY), HORN (ANATOMY), HORN (ANATOMY), HORN (ANATOMY), HORSE, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, IRON, IRON, IRON, IRON, KILL, KILL, LAUGH, LAUGH, LAUGH, LAUGH, LEAF, LEAF, LEAF, LEAF, LEFT, LEFT, LEFT, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOUSE, LOUSE, LOUSE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAN, MAN, MAN, MILK, MILK, MILK, MILK, MILK, MILLET, MILLET, MILLET, MOON, MOON, MOON, MOON, MOTHER, MOTHER, MOTHER, MOTHER, MOUTH, MOUTH, MOUTH, MOUTH, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NINE, NINE, NINE, NINE, NOSE, NOSE, NOSE, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PISS, PISS, PISS, PISS, PISS, PISS, PISS, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, SALT, SALT, SALT, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SEE, SEE, SEE, SEE, SEE, SEVEN, SEVEN, SEVEN, SEVEN, SEVEN, SEVEN, SHARP, SHARP, SHARP, SHARP, SHARP, SHOW, SHOW, SHOW, SHOW, SHOW, SING, SING, SING, SIT, SIT, SIT, SIT, SIT, SIT, SIX, SKY, SKY, SKY, SKY, SKY, SMOKE, SMOKE, SMOKE, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, STAR, STAR, STAR, STAR, STAR, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUN, SUN, SUN, SUN, SUN, SWEEP, SWEEP, SWEEP, SWEEP, TAIL, TAIL, TAIL, TAIL, TAIL, THORN, THORN, THREE, THREE, TREE, TREE, TREE, TREE, VILLAGE, VILLAGE, VILLAGE, WATER, WATER, WATER, WING, WOMAN, WOMAN, WOMAN, WOMAN, YEAR, YEAR, YEAR, YEAR, YEAR, YEAR
Bangime:1	0	1	0	0	0	58	159 429 538 728 809 1043 1071 1106 1214 1334 1532 1589 1695 1750 1901 2061 2102 2279 2331 2606 2641 2712 2879 3030 3143 3258 3315 3351 3415 3591 3658 3792 3906 4044 4074 4134 4226 4453 4579 4713 4787 5089 5117 5172 5206 5286 5606 5692 5786 5809 5836 5909 6182 6221 6287 6735 6892 7156	BAD, BITE, BLOOD, BREATHE, BURN (SOMETHING), CHICKEN, CHIEFTAIN, CHILD, COME, CRY, DOOR, DRINK, EAR, EGG, EYE, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FISH, FLOWER, FRIEND, FULL, GIVE BIRTH, GOOD, HEAD, HIP, HOT, HUSBAND, IRON, KILL, LEAF, LIE DOWN, LOOK FOR, MAN, MILK, MILLET, MOON, MOUTH, NOSE, OPEN, PESTLE, PISS, ROOT, ROTTEN, SALT, SAND, SEE, SIT, SKY, SMOKE, SMOOTH, SNAKE, SPEAR, SUN, SWEEP, TAIL, TREE, WATER, YEAR
Dogon:2	0	0	2	0	0	64	160 539 638 704 808 1086 1121 1123 1201 1381 1399 1673 1676 1749 1765 1785 1972 2059 2062 2135 2293 2402 2572 2617 2707 2708 2890 3110 3218 3327 3329 3363 3364 3414 3416 3642 3809 3819 3826 3887 3909 4056 4057 4132 4238 4242 4451 4727 4803 5101 5106 5218 5304 5354 5373 5598 5850 6194 6223 6240 6736 7070 7084 7158	BAD, BLOOD, BONE, BREAST, BURN (SOMETHING), CHIEFTAIN, CHILD, CHILD, COLD, DIE, DIE, DUST, DUST, EGG, EGG, EIGHT, FALL, FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FIGHT, FISH, FLY (MOVE THROUGH AIR), FOUR, FRIEND, GIVE, GIVE, GOOD, HIDE (CONCEAL), HORSE, HUSBAND, HUSBAND, IRON, IRON, KILL, KILL, LEFT, LOOK FOR, LOOK FOR, LOUSE, MAIZE, MAN, MILK, MILK, MOON, MOUTH, MOUTH, NOSE, PESTLE, PISS, ROOT, ROOT, SAND, SEE, SEVEN, SEVEN, SING, SNAKE, SUN, SWEEP, SWEEP, TREE, WOMAN, WOMAN, YEAR
Dogon:1 Mande:1	0	0	1	1	0	3	162 2078 5222	BAD, FAT (ORGANIC SUBSTANCE), SAND
Atlantic:1 Songhai:1	1	0	0	0	1	1	168	BAD
Dogon:1	0	0	1	0	0	120	171 172 208 213 322 376 393 395 415 440 536 714 744 820 824 1028 1030 1066 1104 1209 1333 1335 1346 1401 1541 1548 1674 1763 1781 1959 2115 2116 2118 2120 2123 2147 2151 2152 2193 2307 2399 2605 2608 2655 2668 2711 2726 2894 2883 2892 3040 3060 3111 3127 3142 3155 3282 3328 3352 3432 3573 3605 3626 3687 3804 3886 3888 3903 3904 3907 3919 4073 4088 4103 4148 4150 4160 4228 4239 4412 4591 4597 4725 4729 4733 4800 5088 5133 5142 5203 5220 5232 5302 5312 5417 5426 5429 5430 5432 5607 5625 5693 5712 5812 5852 5871 5910 5922 5928 5937 6163 6180 6203 6208 6249 6308 6444 6468 6893 7067	BAD, BAD, BARK, BARK, BELLY, BIG, BIRD, BIRD, BIRD, BITE, BLOOD, BREAST, BREATHE, BURN (SOMETHING), BURN (SOMETHING), CHEST, CHEST, CHICKEN, CHILD, COLD, CRY, CRY, CRY, DIE, DOOR, DOOR, DUST, EGG, EGG, FALL, FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FIGHT, FIGHT, FIGHT, FIND, FISH, FLY (MOVE THROUGH AIR), FRIEND, FRIEND, FULL, FULL, GIVE, GIVE BIRTH, GOOD, GOOD, GOOD, HEAD, HEAD, HIDE (CONCEAL), HIDE (CONCEAL), HIP, HIP, HOT, HUSBAND, IRON, KILL, LAUGH, LEAF, LEFT, LIE DOWN, LOOK FOR, MAIZE, MAIZE, MAIZE, MAN, MAN, MAN, MILK, MILLET, MILLET, MOON, MOON, MOON, MOUTH, MOUTH, NINE, OPEN, OPEN, PESTLE, PESTLE, PESTLE, PISS, ROOT, ROTTEN, ROTTEN, SALT, SAND, SAND, SEE, SEE, SHARP, SHARP, SHARP, SHARP, SHARP, SIT, SIT, SKY, SKY, SMOOTH, SNAKE, SNAKE, SPEAR, SPEAR, SPEAR, SPEAR, SUCK, SUN, SUN, SUN, SWEEP, TAIL, THORN, THORN, WATER, WING
Songhai:1	0	0	0	0	1	45	182 1129 1128 1212 1211 1332 1331 1545 1557 1611 1612 1807 1808 1968 2156 2157 2166 2588 2901 2900 3131 3260 3267 3373 3815 3814 3875 3899 4391 4420 4421 4811 4940 5113 5309 5541 5716 5807 5833 5933 6168 6311 6310 6915 7040	BAD, CHILD, CHILD, COLD, COLD, COW, COW, DOOR, DOOR, DRINK, DRINK, EIGHT, EIGHT, FALL, FIGHT, FIGHT, FIGHT, FOUR, GOOD, GOOD, HIDE (CONCEAL), HOT, HOT, IRON, LOOK FOR, LOOK FOR, MAIZE, MAIZE, NIGHT, NINE, NINE, PISS, PUSH, ROOT, SEE, SHOW, SKY, SMOKE, SMOOTH, SPEAR, SUCK, TAIL, TAIL, WATER, WING
Bangime:1 Dogon:2	0	1	2	0	0	6	192 1188 4381 5581 6048 6843	BARK, COLD, NIGHT, SING, STAR, VILLAGE
Dogon:2 Songhai:2	0	0	2	0	2	4	194 1698 3671 5130	BARK, EAR, LIE DOWN, ROTTEN
Atlantic:1	1	0	0	0	0	86	207 316 375 409 442 553 655 742 822 1033 1059 1120 1203 1229 1323 1349 1398 1547 1603 1710 1731 1766 1799 1916 1971 2076 2117 2148 2181 2294 2346 2392 2620 2656 2710 2727 2893 3045 3206 3231 3271 3325 3571 3606 3672 3805 3839 3889 4058 4087 4149 4189 4241 4382 4411 4467 4593 4728 4802 4920 5097 5132 5189 5221 5301 5370 5413 5533 5594 5621 5659 5707 5824 5851 5924 6050 6160 6197 6236 6301 6750 6857 6907 7054 7083 7171	BARK, BELLY, BIG, BIRD, BITE, BLOOD, BONE, BREATHE, BURN (SOMETHING), CHEST, CHICKEN, CHILD, COLD, COME, COW, CRY, DIE, DOOR, DRINK, EAR, EAT, EGG, EIGHT, EYE, FALL, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FIGHT, FIND, FISH, FLOWER, FLY (MOVE THROUGH AIR), FRIEND, FULL, GIVE, GIVE BIRTH, GOOD, HEAD, HORN (ANATOMY), HORSE, HOT, HUSBAND, LAUGH, LEAF, LIE DOWN, LOOK FOR, LOUSE, MAIZE, MILK, MILLET, MOON, MOTHER, MOUTH, NIGHT, NINE, NOSE, OPEN, PESTLE, PISS, PUSH, ROOT, ROTTEN, SALT, SAND, SEE, SEVEN, SHARP, SHOW, SING, SIT, SIX, SKY, SMOOTH, SNAKE, SPEAR, STAR, SUCK, SUN, SWEEP, TAIL, TREE, VILLAGE, WATER, WING, WOMAN, YEAR
Mande:1	0	0	0	1	0	66	210 318 411 444 541 705 1048 1090 1198 1218 1400 1588 1713 1754 1918 1961 2105 2282 2571 2609 2659 2694 2717 3048 3146 3196 3233 3273 3367 3559 3608 3662 3797 3892 3908 4049 4079 4234 4399 4596 4731 5092 5134 5177 5291 5372 5428 5535 5584 5609 5648 5695 5819 5841 5927 6038 6199 6239 6304 6445 6489 6752 6847 7038 7072 7159	BARK, BELLY, BIRD, BITE, BLOOD, BREAST, CHICKEN, CHIEFTAIN, COLD, COME, DIE, DRINK, EAR, EGG, EYE, FALL, FEAR (BE AFRAID), FISH, FOUR, FRIEND, FULL, GIVE, GIVE BIRTH, HEAD, HIP, HORN (ANATOMY), HORSE, HOT, IRON, LAUGH, LEAF, LIE DOWN, LOOK FOR, MAIZE, MAN, MILK, MILLET, MOUTH, NINE, OPEN, PESTLE, ROOT, ROTTEN, SALT, SEE, SEVEN, SHARP, SHOW, SING, SIT, SIX, SKY, SMOOTH, SNAKE, SPEAR, STAR, SUN, SWEEP, TAIL, THORN, THREE, TREE, VILLAGE, WING, WOMAN, YEAR
Bangime:1 Dogon:2 Songhai:1	0	1	2	0	1	1	303	BELLY
Dogon:3 Songhai:1	0	0	3	0	1	3	319 2185 2639	BELLY, FIND, FULL
Bangime:1 Mande:1 Songhai:2	0	1	0	1	2	1	360	BIG
Dogon:4	0	0	4	0	0	9	372 745 1056 1230 3043 3557 5620 5822 6285	BIG, BREATHE, CHICKEN, COME, HEAD, LAUGH, SIT, SMOOTH, TAIL
