concepts	languages	average coverage	varieties
100	27	0.86	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	26	0.89	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	25	0.90	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	24	0.92	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	23	0.93	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
125	37	0.83	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo,Bozo_Kotya,Bozo_Tieyaxo,Bozo_Tiema_Cewe	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	36	0.83	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo,Bozo_Kotya,Bozo_Tieyaxo	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	35	0.83	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo,Bozo_Kotya	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	34	0.83	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	33	0.83	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	32	0.83	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	31	0.83	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	30	0.86	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	29	0.85	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
125	28	0.85	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud	BAD,BARK,BEARD,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,CLOUD,COLD,COME,COW,CRY,DIE,DOG,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,ELBOW,ELEPHANT,EYE,FALL,FAT (OBESE),FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FINGER,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOOT OR LEG,FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LION,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NAME,NECK,NIGHT,NINE,NOSE,ONE,OPEN,PESTLE,PICK,PISS,PULL,PUSH,RAIN (PRECIPITATION),ROOT,ROTTEN,SALT,SAND,SEE,SEND,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKIN,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,STEAL,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TIE,TOMORROW,TONGUE,TREE,URINE,VILLAGE,WATER,WET,WHITE,WING,WOMAN,WOOD,YEAR
