PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGIDS
	0	0	0	0	0	1047	1 3 4 6 19 20 42 43 48 53 54 58 59 68 76 77 91 95 111 124 129 133 145 149 150 157 158 165 184 189 190 191 226 193 195 196 205 214 217 227 229 243 244 251 257 271 288 301 302 307 308 312 313 320 323 326 328 333 343 358 359 361 363 364 367 371 383 392 391 396 397 398 407 419 426 428 431 432 435 439 469 470 474 490 491 510 535 523 534 547 551 573 586 594 601 602 609 611 637 622 639 643 644 666 682 684 683 688 691 694 695 700 701 702 712 723 726 727 729 730 731 737 738 762 763 764 767 768 789 798 812 826 831 835 838 842 873 887 891 921 943 948 955 964 967 969 983 984 985 995 996 997 999 1016 1017 1020 1042 1045 1051 1057 1070 1075 1101 1103 1105 1110 1116 1119 1124 1130 1134 1143 1148 1153 1158 1159 1160 1161 1162 1163 1185 1187 1191 1216 1217 1228 1231 1257 1243 1248 1262 1270 1273 1274 1280 1281 1286 1306 1307 1308 1319 1338 1354 1356 1358 1360 1369 1376 1380 1382 1386 1387 1424 1427 1433 1441 1446 1450 1451 1475 1454 1456 1464 1478 1480 1508 1512 1483 1491 1513 1515 1516 1531 1535 1536 1540 1542 1552 1566 1564 1567 1569 1570 1621 1634 1659 1640 1661 1693 1664 1668 1689 1672 1699 1704 1714 1735 1741 1748 1760 1776 1812 1828 1853 1854 1872 1881 1882 1898 1900 1904 1906 1926 1934 1956 1957 1962 1965 1969 1990 1987 1992 1994 2008 2010 2013 2019 2029 2035 2058 2060 2098 2101 2103 2104 2112 2128 2132 2138 2145 2159 2179 2191 2197 2228 2232 2225 2229 2231 2220 2237 2251 2277 2283 2285 2305 2311 2313 2318 2335 2342 2350 2356 2358 2385 2361 2373 2376 2382 2388 2389 2414 2417 2427 2428 2432 2444 2448 2454 2462 2465 2466 2467 2468 2471 2489 2537 2515 2516 2540 2563 2566 2569 2570 2604 2607 2610 2632 2634 2638 2640 2646 2644 2648 2653 2657 2666 2693 2684 2698 2699 2705 2715 2722 2739 2751 2755 2756 2772 2790 2802 2807 2812 2839 2818 2840 2842 2843 2845 2862 2863 2877 2878 2881 2917 2920 2928 2934 2939 2947 2948 2955 2960 2988 2989 2994 2995 3010 3012 3033 3034 3039 3058 3063 3066 3068 3076 3077 3078 3093 3097 3107 3108 3112 3113 3119 3120 3141 3147 3150 3156 3174 3177 3180 3190 3194 3199 3202 3215 3220 3237 3241 3255 3257 3259 3261 3263 3268 3270 3275 3281 3284 3296 3298 3300 3306 3307 3313 3314 3316 3318 3319 3320 3324 3334 3350 3360 3359 3370 3382 3386 3387 3396 3398 3400 3426 3442 3481 3488 3489 3515 3516 3529 3554 3555 3563 3582 3588 3590 3592 3593 3595 3613 3624 3628 3629 3643 3657 3664 3685 3686 3689 3690 3702 3704 3705 3707 3724 3725 3727 3739 3745 3746 3766 3767 3772 3780 3785 3788 3790 3791 3793 3796 3802 3806 3817 3822 3825 3827 3844 3865 3872 3873 3876 3877 3878 3882 3894 3900 3905 3915 3928 3929 3945 3946 3966 3974 3983 3990 3991 3992 4005 4007 4012 4014 4032 4035 4041 4043 4045 4047 4048 4068 4071 4075 4077 4098 4104 4108 4133 4138 4145 4146 4175 4179 4188 4199 4202 4205 4212 4213 4223 4224 4225 4229 4245 4252 4254 4266 4272 4279 4295 4297 4300 4313 4314 4323 4338 4341 4343 4347 4345 4353 4365 4366 4367 4369 4372 4377 4393 4395 4416 4423 4427 4431 4432 4450 4452 4456 4458 4483 4493 4517 4524 4527 4534 4535 4540 4551 4562 4567 4578 4580 4581 4582 4583 4584 4585 4601 4608 4609 4634 4611 4613 4614 4625 4627 4632 4636 4637 4638 4644 4646 4648 4650 4660 4664 4665 4682 4684 4687 4689 4712 4714 4716 4734 4743 4744 4749 4755 4767 4768 4786 4788 4789 4790 4791 4812 4818 4823 4825 4832 4841 4855 4857 4862 4883 4887 4906 4888 4941 4942 4945 4950 4951 4963 4979 4981 4983 5005 5010 5022 5025 5028 5029 5033 5039 5040 5045 5049 5052 5055 5068 5071 5086 5087 5090 5094 5099 5100 5105 5115 5116 5118 5120 5121 5124 5128 5145 5149 5154 5156 5158 5178 5186 5201 5204 5205 5207 5210 5217 5219 5237 5239 5245 5270 5259 5273 5284 5292 5298 5299 5300 5310 5329 5334 5335 5353 5355 5357 5359 5368 5374 5380 5389 5398 5404 5409 5412 5414 5423 5440 5443 5460 5465 5482 5492 5494 5497 5517 5518 5520 5522 5523 5530 5542 5545 5562 5563 5567 5569 5580 5585 5588 5605 5610 5618 5632 5642 5638 5644 5670 5690 5691 5696 5699 5703 5723 5728 5727 5732 5754 5757 5759 5761 5763 5773 5774 5775 5781 5782 5785 5789 5790 5808 5810 5820 5821 5829 5834 5835 5837 5839 5840 5843 5856 5857 5862 5867 5872 5877 5891 5892 5912 5913 5914 5917 5919 5935 5938 5939 5944 5946 5953 5959 5960 5983 5965 5978 5980 5979 5985 5986 5991 6012 6013 6017 6021 6032 6033 6034 6045 6054 6064 6065 6069 6078 6084 6095 6099 6100 6101 6112 6113 6115 6118 6122 6128 6131 6132 6144 6178 6179 6148 6149 6151 6152 6169 6181 6183 6185 6186 6201 6224 6231 6233 6241 6264 6267 6268 6280 6284 6286 6290 6291 6297 6312 6313 6315 6328 6333 6338 6340 6357 6369 6370 6391 6388 6377 6401 6407 6421 6423 6425 6426 6432 6441 6442 6446 6469 6470 6485 6490 6517 6527 6543 6544 6548 6557 6569 6571 6573 6574 6590 6597 6609 6611 6614 6616 6618 6620 6630 6632 6651 6659 6660 6686 6677 6687 6711 6689 6690 6698 6703 6715 6717 6722 6732 6734 6738 6748 6762 6763 6785 6786 6787 6797 6803 6806 6808 6831 6835 6845 6848 6856 6868 6871 6885 6889 6901 6904 6911 6921 6928 6948 6953 6957 6962 6976 6978 6982 6987 6988 7002 7003 7006 7007 7019 7022 7024 7033 7034 7036 7049 7073 7076 7078 7090 7099 7100 7102 7105 7131 7132 7133 7135 7146 7154 7157 7161 7165 7169 7176 7188 7190 7198 7210	!GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, AGE, ANCESTORS, ANCESTORS, ANCESTORS, ANIMAL, ANIMAL, ANIMAL, ANIMAL, ANIMAL, ANSWER, ANSWER, ARMPIT, ARRIVE, ASH, ASH, ASH, ASH, BACK, BACK, BACK, BAD, BAD, BAD, BAD, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BEARD, BEARD, BEARD, BEAUTIFUL, BEAUTIFUL, BEAUTIFUL, BEGIN, BEGIN, BELLY, BELLY, BELLY, BELLY, BELLY, BELLY, BESIDE, BESIDE, BESIDE, BESIDE, BESIDE, BETRAY, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIG, BIRD, BIRD, BIRD, BIRD, BIRD, BIRD, BITE, BITE, BITE, BITE, BITE, BITTER, BLACKSMITH, BLACKSMITH, BLANKET, BLANKET, BLANKET, BLINK, BLINK, BLINK, BLOOD, BLOOD, BLOOD, BLUNT, BLUNT, BOAT, BOAT, BOAT, BODY, BODY, BODY, BONE, BONE, BONE, BONE, BOW, BOW, BOW, BREAKFAST, BREAKFAST, BREAKFAST, BREAKFAST, BREAKFAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BREATHE, BROOM, BROOM, BROOM, BROOM, BUILD, BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURY, CALL, CALL, CAMEL, CARVE, CARVE, CASSAVA, CASSAVA, CASSAVA, CAT, CAT, CAT, CAT, CAVE, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEST, CHEST, CHEST, CHICKEN, CHICKEN, CHICKEN, CHICKEN, CHIEFTAIN, CHIEFTAIN, CHIEFTAIN, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, CHILD, CHIN, CHIN, CHIN, CLOUD, CLOUD, CLOUD, CLOUD, CLOUD, CLOUD, CLOUD, COLD, COLD, COME, COME, COME, COME BACK, COME BACK, COME BACK, COME BACK, COTTON, COTTON, COUNT, COUNT, COUNT, COUNTRY, COUNTRY, COUNTRY, COUNTRY, COW, COW, CRY, CRY, DEW, DEW, DEW, DEW, DEW, DEW, DIE, DIE, DIE, DIG, DIG, DISEASE, DISEASE, DISEASE, DISEASE, DISEASE, DIVIDE, DIVIDE, DIVIDE, DIVIDE, DOG, DOG, DOG, DOG, DOG, DOG, DONKEY, DONKEY, DONKEY, DONKEY, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOOR, DOVE, DOVE, DOVE, DRIP (FALL IN GLOBULES), DRIP (FALL IN GLOBULES), DRY, DRY, DUST, DUST, DUST, DUST, DUST, DUST, EAR, EAR, EAT, EAT, EAT, EAT, EGG, EGG, ELBOW, ELBOW, ELEPHANT, EMPTY, EMPTY, EMPTY, ENTER, ENTER, EYE, EYE, EYE, EYE, EYE, FACE, FALL, FALL, FALL, FALL, FALL, FALL, FAR, FAR, FAST, FAST, FAST, FAST, FAST, FAT (OBESE), FAT (OBESE), FAT (ORGANIC SUBSTANCE), FATHER, FATHER, FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FIGHT, FIGHT, FIGHT, FIND, FIND, FINGER, FINGER, FINGER, FINGER, FINGER, FINGER, FINGER, FIRE, FIRE, FIREWOOD, FISH, FISH, FISH, FISH, FIVE, FIVE, FLOWER, FLOWER, FLOWER, FLOWER, FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FOAM, FOAM, FOAM, FOLD, FOOD, FOOD, FOOD, FOOD, FOOT OR LEG, FOOT OR LEG, FOOT OR LEG, FOOT OR LEG, FOOT OR LEG, FOREHEAD, FORGET, FORGET, FORGET, FORGIVE, FORGIVE, FOUR, FOUR, FOUR, FOUR, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FULL, FULL, FULL, FULL, FULL, FULL, FULL, GET, GET, GIVE, GIVE, GIVE, GIVE BIRTH, GIVE BIRTH, GIVE BIRTH, GO, GO, GO DOWN (DESCEND), GO DOWN (DESCEND), GO UP (ASCEND), GO UP (ASCEND), GO UP (ASCEND), GO UP (ASCEND), GOAT, GOAT, GOAT, GOD, GOD, GOD, GOD, GOLD, GOOD, GOOD, GOOD, GRANDFATHER, GRASS, GRASS, GRASS, GRASS, GRASS, GUTS, GUTS, GUTS, HAIR, HAIR, HAND, HAND, HAND, HAND, HEAD, HEAD, HEAD, HEAD, HEAD, HEAR, HEAR, HEAR, HEAVY, HEAVY, HEAVY, HELP, HELP, HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIP, HIP, HIP, HIP, HONEY, HONEY, HONEY, HORN (ANATOMY), HORN (ANATOMY), HORN (ANATOMY), HORN (ANATOMY), HORSE, HOST, HOST, HOST, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HOT, HUNDRED, HUNT, HUNT, HUNT, HUNT, HUNT, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, HUSBAND, INJURE, IRON, IRON, IRON, IRON, JAW, JAW, JAW, JAW, JOINT, JOINT, KILL, KILL, KNEEL, KNEEL, KNIFE, KNIFE, KNOW (SOMETHING), KNOW (SOMETHING), LADDER, LAUGH, LAUGH, LAUGH, LAUGH, LEAF, LEAF, LEAF, LEAF, LEAVE, LEFT, LEFT, LEFT, LICK, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIFT, LIFT, LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIMP, LIMP, LION, LION, LION, LION, LOOK, LOOK, LOOK, LOOK, LOOK, LOOK, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOOK FOR, LOUSE, LOUSE, LOUSE, LUNG, LUNG, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAN, MAN, MAN, MARKET, MARKET, MARROW, MARROW, MAT, MAT, MAT, MAT, MEAL, MEAL, MEAL, MEAL, MEAT, MEDICINE, MEDICINE, MEDICINE, MEDICINE, MILK, MILK, MILK, MILK, MILK, MILLET, MILLET, MILLET, MONEY, MONEY, MOON, MOON, MOON, MOON, MOTHER, MOTHER, MOTHER, MOTHER, MOUSE, MOUSE, MOUSE, MOUSE, MOUSE, MOUTH, MOUTH, MOUTH, MOUTH, NAME, NAME, NAME, NAME, NARROW, NARROW, NEAR, NEAR, NEAR, NECK, NECK, NEED (NOUN), NEED (NOUN), NEED (NOUN), NEED (NOUN), NEED (NOUN), NEW, NEW, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NIGHT, NINE, NINE, NINE, NINE, NOBLE, NOBLE, NOBLE, NOSE, NOSE, NOSE, NOW, NOW, OLD, OLD, OLD, OLD, OLD, ONE, ONE, ONION, ONION, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, OPEN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, OTHER, OTHER, OTHER, OTHER, OTHER, PATH OR ROAD, PATH OR ROAD, PATH OR ROAD, PENIS, PENIS, PENIS, PERSON, PERSON, PERSON, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PICK, PICK, PICK, PICK, PIG, PISS, PISS, PISS, PISS, PISS, PISS, PISS, PLACE (POSITION), PLACE (POSITION), PLACE (POSITION), PLACE (POSITION), PULL, PULL, PULL, PULL, PUMPKIN, PUMPKIN, PUMPKIN, RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAINBOW, RAW, RED, RED, RIB, RIB, RIB, RIB, RIGHT, RIGHT, RIGHT, RIGHT, RIGHT, RIGHT, RIVER, RIVER, ROOF, ROOF, ROOF, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROTTEN, ROUGH, RUN, RUN, RUN, SALT, SALT, SALT, SAND, SAND, SAND, SAND, SAND, SAND, SAND, SAY, SAY, SAY, SAY, SCALE, SCALE, SEE, SEE, SEE, SEE, SEE, SELL, SEND, SEND, SEND, SEVEN, SEVEN, SEVEN, SEVEN, SEVEN, SEVEN, SEW, SEW, SEW, SEW, SHARP, SHARP, SHARP, SHARP, SHARP, SHEEP, SHIT (DEFECATE), SHOE, SHORT, SHORT, SHORT, SHORT, SHOW, SHOW, SHOW, SHOW, SHOW, SICKLE OR SCYTHE, SICKLE OR SCYTHE, SICKLE OR SCYTHE, SICKLE OR SCYTHE, SIMILAR, SIMILAR, SING, SING, SING, SIT, SIT, SIT, SIT, SIT, SIT, SIX, SKIN, SKIN, SKY, SKY, SKY, SKY, SKY, SLAVE, SLAVE, SLEEP, SLEEP, SLEEP, SLEEP, SLIP, SLIP, SMALL, SMALL, SMALL, SMALL, SMALL, SMOKE, SMOKE, SMOKE, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SOAP, SOAP, SOAP, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPEAR, SPIN, SPIN, SPIN, SPIN, SPIN, SPIRIT, SPIRIT, SPIRIT, SPIRIT, SPIRIT, SPIRIT, SPIT, SPIT, SPIT, SPIT, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, STAR, STAR, STAR, STAR, STAR, STEAL, STEAL, STEAL, STEAL, STEAL, STOMACH, STOMACH, STOMACH, STOMACH, STONE, STONE, STONE, STONE, STRIKE OR BEAT, STRIKE OR BEAT, STRIKE OR BEAT, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUCK, SUN, SUN, SUN, SUN, SUN, SWEEP, SWEEP, SWEEP, SWEEP, SWIM, SWIM, SWIM, SWIM, SWIM, TAIL, TAIL, TAIL, TAIL, TAIL, TALK, TALK, TALK, TALK, TEN, TEN, TESTICLES, TESTICLES, TESTICLES, THIGH, THIGH, THIGH, THIGH, THING, THINK, THINK, THINK, THINK, THINK, THINK, THORN, THORN, THOUSAND, THOUSAND, THREE, THREE, THROAT, THROW, THROW, TIE, TIE, TIE, TOMORROW, TOMORROW, TOMORROW, TOMORROW, TOMORROW, TOMORROW, TONGS, TONGUE, TONGUE, TONGUE, TONGUE, TONGUE, TONGUE, TOOTH, TOOTH, TOOTH, TOUCH, TOUCH, TOUCH, TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TRAVERSE, TRAVERSE, TRAVERSE, TRAVERSE, TREE, TREE, TREE, TREE, TWENTY, TWO, TWO, TWO, TWO, TWO, URINE, URINE, URINE, VAGINA, VILLAGE, VILLAGE, VILLAGE, WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WATER, WATER, WATER, WEAVE, WEEK, WEEK, WET, WET, WET, WET, WET, WHITE, WHITE, WHITE, WIFE, WIFE, WIFE, WIFE, WIFE, WIND, WIND, WIND, WIND, WIND, WING, WOMAN, WOMAN, WOMAN, WOMAN, WOOD, WOOD, WOOD, WOOD, WRAPPER, WRAPPER, WRAPPER, WRAPPER, WRAPPER, WRAPPER, YEAR, YEAR, YEAR, YEAR, YEAR, YEAR, YELLOW, YELLOW, YELLOW
Bangime:1	0	1	0	0	0	166	2 21 55 78 92 108 159 345 429 488 512 538 574 610 728 765 792 809 857 922 986 994 1043 1071 1106 1135 1214 1232 1272 1334 1355 1477 1532 1568 1589 1695 1750 1809 1832 1855 1883 1901 1936 1993 2009 2061 2102 2194 2234 2279 2314 2331 2359 2429 2445 2464 2490 2606 2641 2712 2740 2791 2813 2879 2903 2962 3030 3079 3143 3176 3258 3297 3315 3351 3415 3445 3490 3517 3531 3591 3610 3658 3688 3726 3741 3792 3906 3930 3993 4030 4044 4074 4105 4134 4162 4226 4250 4315 4453 4499 4515 4557 4579 4610 4649 4661 4685 4713 4787 4820 4843 4884 4943 4964 4984 5006 5030 5050 5089 5117 5146 5172 5206 5286 5314 5331 5461 5483 5566 5606 5671 5692 5733 5760 5786 5809 5836 5874 5909 5940 5961 6014 6098 6182 6221 6265 6287 6335 6404 6524 6545 6570 6633 6688 6713 6735 6804 6892 6950 6980 7004 7021 7092 7130 7156 7191	!GUEST OR STRANGER, AGE, ANIMAL, ANSWER, ARMPIT, ARRIVE, BAD, BETRAY, BITE, BLANKET, BLINK, BLOOD, BLUNT, BODY, BREATHE, BROOM, BUILD, BURN (SOMETHING), BUY, CARVE, CAVE, CHEEK, CHICKEN, CHIEFTAIN, CHILD, CHIN, COME, COME BACK, COUNT, CRY, DEW, DOG, DOOR, DOVE, DRINK, EAR, EGG, ELBOW, ELEPHANT, EMPTY, ENTER, EYE, FACE, FAR, FAST, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FINGER, FIRE, FISH, FIVE, FLOWER, FLY (INSECT), FOLD, FOOD, FOOT OR LEG, FOREHEAD, FRIEND, FULL, GIVE BIRTH, GO, GO UP (ASCEND), GOAT, GOOD, GRANDFATHER, HAIR, HEAD, HEAVY, HIP, HONEY, HOT, HUNT, HUSBAND, IRON, KILL, KNEE, KNIFE, KNOW (SOMETHING), LADDER, LEAF, LEAVE, LIE DOWN, LIFT, LIMP, LION, LOOK FOR, MAN, MARKET, MEAL, MEDICINE, MILK, MILLET, MONEY, MOON, MOSQUE, MOUTH, MUD, NECK, NOSE, NURSE, OLD, ONION, OPEN, ORPHAN, PATH OR ROAD, PENIS, PERSON, PESTLE, PISS, PLACE (POSITION), POCKET, PUMPKIN, RAIN (PRECIPITATION), RAINBOW, RED, RIB, RIGHT, RIVER, ROOT, ROTTEN, ROUGH, SALT, SAND, SEE, SELL, SEND, SHIT (DEFECATE), SHOE, SIMILAR, SIT, SKIN, SKY, SLEEP, SLIP, SMOKE, SMOOTH, SNAKE, SOAP, SPEAR, SPIN, SPIRIT, SPRING OR WELL, STOMACH, SUN, SWEEP, SWIM, TAIL, TEN, THING, THROW, TIE, TOMORROW, TOOTH, TRAP (PITFALL), TRAVERSE, TREE, URINE, WATER, WET, WHITE, WIFE, WIND, WOOD, WRAPPER, YEAR, YELLOW
