ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES
151	Perge_Tegu	BLACKSMITH	ɡ ɛ ⁵ m b ɛ ¹ + n	blacksmith n-class-animate
152	Gourou	CHILD	i ⁵¹ + n	child n-class-animate
153	Jamsay	CHILD	i ⁵¹ + n	child n-class-animate
154	Bondu_So	HOST	o ¹ l e ¹ + s u ⁵ ɡ i ⁵ + n	house lodge n-class-animate
155	Jamsay	MAN	a ¹⁵ + n	man n-class-animate
156	Bondu_So	NAME	i ⁵ n e ¹ + n	name n-class-animate
157	Jamsay	ORPHAN	l aː ¹ w a ¹ + ɡ i ⁵ + n	orphan n-class-animate
158	Jamsay	PERSON	i ⁵ n e ⁵ + n	person n-class-animate
159	Bondu_So	SKY	a ¹ dʒ a ¹⁵ + n	sky n-class-round
160	Jamsay	WOMAN	ɲ ɛ ¹⁵ + n	woman n-class-animate
161	Yanda_Dom	HUSBAND	n u ¹ ŋ ɔ ¹ + n	husband n-class-bodyparts
162	Gourou	SLAVE	ɡ u ¹ n o ⁵ + n	slave n-class-bodyparts
163	Jamsay	SLAVE	ɡ u ¹ n o ⁵ + n	slave n-class-bodyparts
164	Bankan_Tey	DISEASE	ɔː ¹ r ɔ ¹⁵ + n	disease n-class-building
165	Bondu_So	DISEASE	s aː ¹ m a ¹⁵ + n	disease n-class-building
166	Bondu_So	MARKET	e ⁵ b a ⁵ + n	market n-class-building
167	Penange	FOOD	ɲ ɔː ¹ + n dʒ e ⁵	eat ndʒe-class-round
168	Yorno_So	FRIEND	a ⁵ + n ɡ e ⁵	friend nɡe-class-animate
169	Dogul_Dom	DOG	u ¹ ŋ ɔ ⁵ + ŋ ⁵	dog ŋ-class-animate
170	Dogul_Dom	FRIEND	n a ¹ l e ⁵ + ŋ ⁵	friend ŋ-class-animate
171	Yanda_Dom	FRIEND	l a ¹ l u ¹ + ŋ	friend ŋ-class-animate
172	Dogul_Dom	IRON	i ⁵ n a ¹ + ŋ ¹	iron ŋ-class-animate
173	Nanga	WOMAN	j a ¹⁵ + ŋ	woman ŋ-class-animate
174	Dogul_Dom	CHEST	ɡ e ¹ ɲ u ⁵ + ŋ ⁵	chest ŋ-class-bodyparts
175	Toro_Tegu	FACE	dʒ i ¹ n o ¹⁵ + ŋ	face ŋ-class-bodyparts
176	Dogul_Dom	LEFT	n aː ¹ ɡ _ n a ¹ n d a ¹ + ŋ ⁵	left ŋ-class-bodyparts
177	Dogul_Dom	MOUTH	k ɛ ¹ n n u ⁵ + ŋ ⁵	mouth ŋ-class-bodyparts
178	Dogul_Dom	SHOE	t a ¹ ɡ u ⁵ + ŋ ⁵	shoe ŋ-class-bodyparts
179	Dogul_Dom	DISEASE	dʒ i ¹ m u ⁵ + ŋ	disease ŋ-class-building
180	Yanda_Dom	RAIN (PRECIPITATION)	a ¹ r̃ ∼ u ¹ + ŋ	rain ŋ-class-long
181	Dogul_Dom	BONE	k ɛ ¹ n ɛ ⁵ + ŋ ⁵	bone ŋ-class-long
182	Dogul_Dom	LADDER	dʒ o ⁵ n u ¹ + ŋ ¹	tree ŋ-class-long
183	Mombo	RAIN (PRECIPITATION)	k u ⁵ m a ⁵ + ŋ ɡ a ¹	rain ŋɡa-class-long
184	Penange	RAIN (PRECIPITATION)	k u ¹ m aː ¹ + ŋ ɡ a ¹	rain ŋɡa-class-long
185	Ampari	TREE	t i ¹ + ŋ ɡ ɔ ⁵	tree ŋɡɔ-class-long
186	Mombo	TREE	t i ⁵ n i ⁵ + ŋ ɡ ɔ ¹	tree ŋɡɔ-class-long
187	Tiranige_Diga	TREE	t i ⁵ l + ŋ ɡ ɔ ⁵	tree ŋɡɔ-class-long
188	Bondu_So	CHEST	p ɛ ⁵ l ɛ ¹ + ŋ ɡ e ¹	chest ŋɡe-class-bodyparts
189	Bondu_So	FOREHEAD	ɡ e ⁵ n d e ¹ + ŋ ɡ e ¹	forehead ŋɡe-class-bodyparts
190	Mombo	GRASS	b e ⁵ l e ⁵ + ŋ ɡ e ¹	grass ŋɡe-class-long
191	Bondu_So	HEAD	k iː ⁵¹ + ŋ ɡ e ¹	head ŋɡe-class-bodyparts
192	Bondu_So	JOINT	d i ⁵ ɡ i ¹ + n ɡ e ¹	joint ŋɡe-class-bodyparts
193	Bondu_So	MOUTH	i ¹ b i ⁵ + ŋ ɡ e ⁵	mouth ŋɡe-class-bodyparts
194	Bunoge	NECK	k o ⁵ l a ⁵ + ŋ ɡ e ¹	neck ŋɡe-class-bodyparts
195	Bondu_So	SPRING OR WELL	d a ¹⁵ j + ŋ ɡ e ⁵	spring or well ŋɡe-class-long
196	Bunoge	TREE	t i ⁵ l i ⁵ + ŋ ɡ e ¹	tree ŋɡe-class-long
197	Bondu_So	BLOOD	ɡ e ¹⁵ + n ɡ e ⁵	blood ŋɡe-class-liquid
198	Mombo	BLOOD	ɡ eː ¹ + ŋ ɡ e ⁵	blood ŋɡe-class-liquid
199	Tebul_Ure	BLOOD	dʒ e ¹ + n dʒ e ⁵	blood ŋɡe-class-liquid
200	Tiranige_Diga	BLOOD	dʒ eː ⁵ + ŋ ɡ e ⁵	blood ŋɡe-class-liquid
201	Bunoge	EGG	p o ⁵ l e ⁵ + ŋ ɡ e ¹	egg ŋɡe-class-round
202	Tiranige_Diga	EGG	p o ⁵ l + ŋ ɡ e ⁵	egg ŋɡe-class-round
203	Bunoge	MILK	ʔ ɛ ¹ m ɛ ¹ + ŋ ɡ e ¹	milk ŋɡe-class-round
204	Penange	MILK	ɛ ⁵ m ɛː ⁵ + ŋ ɡ e ⁵	milk ŋɡe-class-round
205	Tiranige_Diga	MILK	ɛ ¹ m ɛ ¹ + ŋ ɡ e ¹	milk ŋɡe-class-round
206	Bunoge	MILLET	s eː ⁵ + ŋ ɡ e ¹	millet ŋɡe-class-round
207	Mombo	MILLET	s eː ⁵ + ŋ ɡ e ¹	millet ŋɡe-class-round
208	Penange	MILLET	s eː ¹ + ŋ ɡ e ¹	millet ŋɡe-class-round
209	Tebul_Ure	FOOD	ɲ ɛ ⁵ + ŋ ɡ ɛ ⁵	eat ŋɡɛ-class-round
210	Tomo_Kan	FOOD	ɲ iː ⁵ + n dʒ e ⁵	eat ŋɡɛ-class-round
211	Bunoge	SKY	ʔ a ⁵ ŋ k o ⁵ + ŋ ɡ o ¹	sky ŋɡo-class-round
212	Bondu_So	BONE	k i ¹ n a ⁵ + ŋ ɡ o ⁵	bone ŋɡo-class-round
213	Bondu_So	CASSAVA	b a ¹ n a ¹ ŋ k uː ⁵¹ + ŋ ɡ o ¹	cassava ŋɡo-class-round
214	Toro_Tegu	CHEEK	k a ¹ + p i ¹ r + ŋ ɡ o ⁵	cheek ŋɡo-class-round
215	Bondu_So	EGG	p o ¹⁵ l + ŋ ɡ o ⁵	egg ŋɡo-class-round
216	Bondu_So	FIREWOOD	t eː ⁵ + ŋ ɡ o ⁵	firewood ŋɡo-class-round
217	Bunoge	FIREWOOD	t eː ⁵ + ŋ ɡ o ¹	firewood ŋɡo-class-round
218	Mombo	FIREWOOD	t eː ⁵ + ŋ ɡ o ⁵	firewood ŋɡo-class-round
219	Penange	FIREWOOD	t eː ¹ + ŋ ɡ o ¹	firewood ŋɡo-class-round
220	Tiranige_Diga	FIREWOOD	t eː ¹ + ŋ ɡ o ¹	firewood ŋɡo-class-round
221	Bondu_So	FLOWER	p u ¹ n ɛ ¹⁵ n + ɡ o ⁵	flower ŋɡo-class-round
222	Bondu_So	FOOD	k w ɛ ⁵ + ŋ ɡ o ¹	eat ŋɡo-class-round
223	Bondu_So	GRASS	s ɔː ¹⁵ m ɛ ¹ + ŋ ɡ o ¹	grass ŋɡo-class-long
224	Bondu_So	HIP	t i ⁵ n iː ¹ + ŋ ɡ o ¹	hip ŋɡo-class-round
