Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ùù	ùù	pùùgù, wùùjūⁿ	Jenaama	4	U+00f9 U+00f9
ōō	ōō	wōō-lɛ̄wⁿ, dōōrò	Jenaama	4	U+014d U+014d
á$	á	pàmbá, sàbá	Jenaama	4	U+00e1 U+0024
àⁿ$	àⁿ	kwàⁿ, tàⁿ	Jenaama	4	U+00e0 U+207f U+0024
a᷆$	a᷆	kèba᷆, kàma᷆	Jenaama	4	U+0061 U+1dc6 U+0024
ẁⁿ$	<?>	tàbāẁⁿ, sìkèẁⁿ	Jenaama	4	U+1e81 U+207f U+0024
^l	l	lɔ̄g-dēmō, lààrābū	Jenaama	4	U+005e U+006c
ɛ̄ⁿ	ɛ̄ⁿ	yōlō-cɛ̄ɛ̄ⁿ-māā-kèwⁿ, mɛ̀ɛ̄ⁿ-sìyōⁿ	Jenaama	4	U+025b U+0304 U+207f
^c	c	cɛ̄ɛ̄m, cɔ̄llɔ̀	Jenaama	4	U+005e U+0063
ɔ̀ⁿ$	ɔ̀ⁿ	sùŋɔ̀ⁿ, sɔ̀ⁿ	Jenaama	4	U+0254 U+0300 U+207f U+0024
ɔ̀ⁿ	ɔ̀ⁿ	kɔ̀ɔ̀ⁿjɛ́wⁿ, sɔ̀ŋgɔ̀ⁿ-kúŋgólō	Jenaama	4	U+0254 U+0300 U+207f
ɛ̄ⁿ$	ɛ̄ⁿ	à-kwɛ̄ⁿ, sībɛ̄ⁿ	Jenaama	4	U+025b U+0304 U+207f U+0024
óⁿ$	óⁿ	kānā-kòlóⁿ, jàmbóⁿ	Jenaama	3	U+00f3 U+207f U+0024
ìs	ìs	mìsírí, mìskììnà-mà-kɛ̄lɛ̄	Jenaama	3	U+00ec U+0073
èwⁿ$	èwⁿ	tààlmá-sìgèwⁿ, yōlō-cɛ̄ɛ̄ⁿ-māā-kèwⁿ	Jenaama	3	U+00e8 U+0077 U+207f U+0024
īī	īī	mìskīīnī, à-mīīlà	Jenaama	3	U+012b U+012b
òò	òò	kòòmbò, tɔ̄ɔ̄-kòòmbò	Jenaama	3	U+00f2 U+00f2
íí	íí	híílā, síí-mā	Jenaama	3	U+00ed U+00ed
f	f	màlīfā, nàfòlò-tūgū	Jenaama	3	U+0066
íⁿ$	íⁿ	cíⁿ, tègèncíⁿ	Jenaama	3	U+00ed U+207f U+0024
ə̀$	ə̀	kə̀, kə̀lə̀	Jenaama	3	U+0259 U+0300 U+0024
ùⁿ$	ùⁿ	nàndùⁿ, ɲɛ̄ɛ̀-hùⁿ	Jenaama	3	U+00f9 U+207f U+0024
nn	nn	pān-nā, sànnā	Jenaama	3	U+006e U+006e
òⁿ	òⁿ	dùgòⁿ-kɛ̄ɛ̄gū, yùgòⁿ-kānū	Jenaama	3	U+00f2 U+207f
ɔ̄ⁿ	ɔ̄ⁿ	sɔ̀ɔ̄ⁿ-sèlē, kɔ̄ⁿ-yà	Jenaama	3	U+0254 U+0304 U+207f
n$	n	pàn-pán, à-bīyɛ̀n	Jenaama	2	U+006e U+0024
ùw$	ùw	wùw, kùw	Jenaama	2	U+00f9 U+0077 U+0024
yⁿ$	yⁿ	kāyⁿ, à-māyⁿ	Jenaama	2	U+0079 U+207f U+0024
ās	ās	dāsì, kāsò	Jenaama	2	U+0101 U+0073
ə̄	ə̄	kə̀lə̄-nàwⁿ, gə̄lə̄	Jenaama	2	U+0259 U+0304
ə̄$	ə̄	gə̄lə̄, kə́gə̄	Jenaama	2	U+0259 U+0304 U+0024
ūū	ūū	tūū-bàlà, kāābūūsì	Jenaama	2	U+016b U+016b
ùwⁿ	ùwⁿ	pùwⁿɔ́, kùwⁿɔ̀	Jenaama	2	U+00f9 U+0077 U+207f
èⁿ	èⁿ	tèèⁿ-kɛ̄ɛ̄gū, tèèⁿ-yūgōⁿ	Jenaama	2	U+00e8 U+207f
^ŋ	ŋ	ŋìyɛ̀wⁿ	Jenaama	2	U+005e U+014b
ɥ̄	ɥː	tūɥ̄-gù	Jenaama	2	U+0265 U+0304
īwⁿ$	īwⁿ	dàràmàyīwⁿ, à-tīwⁿ	Jenaama	2	U+012b U+0077 U+207f U+0024
òwⁿ$	òwⁿ	pòwⁿ	Jenaama	2	U+00f2 U+0077 U+207f U+0024
ll	ll	bíllà-nà, cɔ̄llɔ̀	Jenaama	2	U+006c U+006c
ú$	ú	bùkúrú, mùɲú	Jenaama	2	U+00fa U+0024
ỳ$	ỳ	sɔ̄ŋgɔ̄ỳ, nànāỳ	Jenaama	2	U+1ef3 U+0024
ùs	ùs	gùùsūⁿ, gùrū-gùsūⁿ	Jenaama	2	U+00f9 U+0073
ɛ́ɛ́	ɛ́ɛ́	kɛ́ɛ́rāwⁿ, tìgè-kɛ́ɛ́gū	Jenaama	2	U+025b U+0301 U+025b U+0301
i᷆$	i᷆	nìŋi᷆, yàmbāā-nìŋi᷆	Jenaama	2	U+0069 U+1dc6 U+0024
āā$	āā	kāā	Jenaama	2	U+0101 U+0101 U+0024
ìⁿ$	ìⁿ	dūgā-pìⁿ, tùùmìⁿ	Jenaama	2	U+00ec U+207f U+0024
às	às	dàsíŋkēwⁿ, nùmàsāⁿ	Jenaama	2	U+00e0 U+0073
C	<?>	ā-C109āmɛ̀wⁿ	Jenaama	1	U+0043
^bw	bw	bwɛ᷆	Jenaama	1	U+005e U+0062 U+0077
àh	àh	bààhúmā	Jenaama	1	U+00e0 U+0068
ìì	ìì	mìskììnà-mà-kɛ̄lɛ̄	Jenaama	1	U+00ec U+00ec
kw	kʷ	à-kwɛ̄ⁿ	Jenaama	1	U+006b U+0077
e	e	yōle-y-cɛ̄ɛ̄m	Jenaama	1	U+0065
ɛ̀ɛ̀	ɛ̀ɛ̀	kɛ̀ɛ̀gù	Jenaama	1	U+025b U+0300 U+025b U+0300
^ŋ̄$	ŋː	ŋ̄	Jenaama	1	U+005e U+014b U+0304 U+0024
ūⁿ	ūⁿ	tūūⁿ-wàà-nà	Jenaama	1	U+016b U+207f
e᷆	e᷆	kèŋge᷆-gū	Jenaama	1	U+0065 U+1dc6
áⁿ	áⁿ	súbááⁿ-sōŋ	Jenaama	1	U+00e1 U+207f
èw$	èw	kèw	Jenaama	1	U+00e8 U+0077 U+0024
īⁿ	īⁿ	pīīⁿ-bòndò	Jenaama	1	U+012b U+207f
ùⁿ	ùⁿ	tùùⁿkūwō	Jenaama	1	U+00f9 U+207f
o᷆$	o᷆	sùwo᷆	Jenaama	1	U+006f U+1dc6 U+0024
ə̄ə̄	ə̄ə̄	gə̄ə̄wⁿ	Jenaama	1	U+0259 U+0304 U+0259 U+0304
íⁿ	íⁿ	pííⁿ-dū	Jenaama	1	U+00ed U+207f
u᷆$	u᷆	à-tu᷆	Jenaama	1	U+0075 U+1dc6 U+0024
h	h	ɲɛ̄ɛ̀-hùⁿ	Jenaama	1	U+0068
ɛ᷆$	ɛ᷆	bwɛ᷆	Jenaama	1	U+025b U+1dc6 U+0024
109	<?>	ā-C109āmɛ̀wⁿ	Jenaama	1	U+0031 U+0030 U+0039
^ā$	ā	ā	Jenaama	1	U+005e U+0101 U+0024
ɛ̀ⁿ$	ɛ̀ⁿ	ʃɛ̀ⁿ	Jenaama	1	U+025b U+0300 U+207f U+0024
a᷆ⁿ$	a᷆ⁿ	kūla᷆ⁿ	Jenaama	1	U+0061 U+1dc6 U+207f U+0024
úú	úú	púújī	Jenaama	1	U+00fa U+00fa
ȳⁿ	<?>	ɲòȳⁿ-ɲòȳⁿ	Jenaama	1	U+0233 U+207f
a	a	bambàlà	Jenaama	1	U+0061
e᷆$	e᷆	kìrìke᷆	Jenaama	1	U+0065 U+1dc6 U+0024
ɛ̌	ɛ̌	ɲɛ̌ŋkūlù	Jenaama	1	U+025b U+030c
ōⁿ	ōⁿ	wōⁿ-wōⁿ	Jenaama	1	U+014d U+207f
^X$	<?>	X	Jenaama	1	U+005e U+0058 U+0024
òⁿs	òⁿs	dòⁿsò	Jenaama	1	U+00f2 U+207f U+0073
ȳⁿ$	<?>	ɲòȳⁿ-ɲòȳⁿ	Jenaama	1	U+0233 U+207f U+0024
ɔ́ⁿ$	ɔ́ⁿ	kɔ̀ɲɔ́ⁿ	Jenaama	1	U+0254 U+0301 U+207f U+0024
ə́	ə́	kə́gə̄	Jenaama	1	U+0259 U+0301
u᷆ⁿ$	u᷆ⁿ	bànàⁿku᷆ⁿ	Jenaama	1	U+0075 U+1dc6 U+207f U+0024
^ǹs	<?>	ǹsīnì	Jenaama	1	U+005e U+01f9 U+0073
ȳ	<?>	dɛ̀bɛ̀-ȳ-cɛ̄ɛ̄m	Jenaama	1	U+0233
ŋ̄	ŋː	wōlō-ŋ̄-wōlōⁿ	Jenaama	1	U+014b U+0304
èè	èè	ʃèètāānà	Jenaama	1	U+00e8 U+00e8
yy	yː	kōy-yà	Jenaama	1	U+0079 U+0079
ōwⁿ$	ōwⁿ	tíyōwⁿ	Jenaama	1	U+014d U+0077 U+207f U+0024
ēⁿ	ēⁿ	kēlēⁿ-kālāⁿ	Jenaama	1	U+0113 U+207f
ēw$	ēw	kēw	Jenaama	1	U+0113 U+0077 U+0024
